original_title,production_companies
"I Love You, Man"," Bernard Gayle Productions,  De Line Pictures,  The Montecito Picture Company, DreamWorks SKG"
I Now Pronounce You Chuck & Larry," Happy Madison Productions, Universal Pictures"
I Spy,Colombia Pictures
I Think I Love My Wife,Fox Searchlight Pictures
I'm Not There.," John Wells Productions,  Dreamachine,  Killer Films, Endgame Entertainment,  Rising Star"
"I, Frankenstein"," Sidney Kimmel Entertainment, Lakeshore Entertainment,  Hopscotch Films,  Lionsgate"
"I, Robot","Twentieth Century Fox Film Corporation,  Davis Entertainment,  Mediastream Vierte Film GmbH & Co. Vermarktungs KG,  Laurence Mark Productions,  Overbrook Entertainment"
Ice Age,"Twentieth Century Fox Film Corporation,  Blue Sky Studios,  Twentieth Century Fox Animation"
Ice Age: Continental Drift," Twentieth Century Fox Animation, Blue Sky Studios"
Ice Age: The Meltdown,"Blue Sky Studios,  Twentieth Century Fox Animation"
Identity," Columbia Pictures Corporation, Konrad Pictures"
Identity Thief,"Stuber Productions,  Aggregate Films,  DumbDumb"
If I Stay,"New Line Cinema,  Metro-Goldwyn-Mayer (MGM)"
Igby Goes Down,United Artists
Igor," Exodus Productions, Exodus Film Group"
Immortals," Mark Canton Productions, Virgin Produced"
In Bruges," Film4,  Twins Financing,  Focus Features,  Scion Films, Blueprint Pictures"
In Time,"Regency Enterprises,  New Regency Pictures,  Strike Entertainment"
In the Heart of the Sea," Spring Creek Productions,  K. JAM Media,  Roth Films,  Warner Bros., Imagine Entertainment"
In the Land of Women," Land Films Inc.,  Anonymous Content, Castle Rock Entertainment"
In the Valley of Elah," Warner Independent Pictures (WIP), Summit Entertainment,  Samuels Media,  Blackfriars Bridge Films,  NALA Films"
Inception," Syncopy,  Warner Bros., Legendary Pictures"
Indiana Jones and the Kingdom of the Crystal Skull," Paramount Pictures, Lucasfilm"
IndigÃ¨nes,Tessalit Productions
Inglourious Basterds," Zehnte Babelsberg,  A Band Apart,  Visiona Romantica, Universal Pictures"
Inherent Vice,"Ghoulardi Film Company,  Warner Bros."
Inkheart,"New Line Cinema,  Internationale Filmproduktion Blackbird Erste"
Inside Man,"Imagine Entertainment,  Universal Pictures"
Inside Out,"Walt Disney Pictures,  Pixar Animation Studios,  Walt Disney Studios Motion Pictures"
Insidious: Chapter 3,Sony Pictures
Insomnia," Alcon Entertainment, Section Eight,  Witt/Thomas Productions"
Insurgent," Red Wagon Entertainment, Summit Entertainment,  NeoReel,  Mandeville Films"
Interstellar,"Paramount Pictures,  Lynda Obst Productions,  Syncopy,  Warner Bros.,  Legendary Pictures"
Into the Blue," Metro-Goldwyn-Mayer (MGM), Columbia Pictures Corporation,  Mandalay Pictures"
Into the Storm,"New Line Cinema,  Broken Road Productions,  Village Roadshow Pictures"
Into the Wild," Art Linson Productions, Paramount Vantage,  Into the Wild,  River Road Entertainment"
Into the Woods," Lucamar Productions, Walt Disney Pictures,  Marc Platt Productions"
Intolerable Cruelty," Universal Pictures,  Mike Zoss Productions, Imagine Entertainment,  Alphaville Productions"
Invictus," Mace Neufeld Productions,  Malpaso Productions,  Warner Bros., Spyglass Entertainment,  Revelations Entertainment"
Iron Man,Marvel Studios
Iron Man 2,Marvel Studios
Iron Man 3,Marvel Studios
It's Complicated," Dentsu,  Waverly Films,  Relativity Media,  Scott Rudin Productions, Universal Pictures"
Itâ€™s a Boy Girl Thing," Icon Entertainment International,  Alliance Atlantis Motion Picture Production, Prospero Pictures,  Rocket Pictures,  Scion Films"
J. Edgar,"Imagine Entertainment,  Malpaso Productions,  Wintergreen Productions"
Jack Reacher," Skydance Productions,  TC Productions,  Mutual Film Company, Paramount Pictures"
Jack Ryan: Shadow Recruit," Di Bonaventura Pictures,  Etalon film,  Mace Neufeld Productions,  Skydance Productions, Paramount Pictures"
Jack and Jill," Broken Road Productions,  Happy Madison Productions, Columbia Pictures"
Jack the Giant Slayer," Original Film,  Big Kid Pictures,  Warner Bros.,  Legendary Pictures, New Line Cinema"
Jackass Number Two,Paramount Pictures
Jackass Presents: Bad Grandpa," MTV Films, Paramount Pictures,  Dickhouse Productions"
Jackass: The Movie,Paramount Pictures
Jarhead," Neal Street Productions,  Red Wagon Entertainment,  Motion Picture KAPPA Produktionsgesellschaft, Universal Pictures"
Jason X," Crystal Lake Entertainment,  Sean S. Cunningham Films, New Line Cinema"
Jay and Silent Bob Strike Back," View Askew Productions,  Miramax, Dimension Films"
Jeepers Creepers," Cinerenta-Cinebeta,  Cinerenta Medienbeteiligungs KG,  VCL Communications,  American Zoetrope, United Artists"
Jeepers Creepers 2,"United Artists,  Jeepers Creepers II,  Myriad Pictures,  American Zoetrope"
"Jeff, Who Lives at Home",Indian Paintbrush
Jem and the Holograms," Blumhouse Productions,  Allspark Pictures,  Hasbro Studios, Universal Pictures"
Jennifer's Body,"Dune Entertainment,  Fox Atomic"
Ji jie hao,Huayi Brothers Media Corporation
Jimmy Neutron: Boy Genius," Paramount Animation, Nickelodeon Movies,  Universal Cartoon Studios"
Jobs,"Open Road Films,  Five Star Institute,  Dillywood,  Silver Reel"
Joe Dirt,"Columbia Pictures,  Happy Madison Productions"
John Carter,Walt Disney Pictures
John Q," Burg/Koules Productions, New Line Cinema,  Evolution Entertainment"
John Tucker Must Die," Landscape Entertainment, Twentieth Century Fox Film Corporation,  Dune Entertainment,  John US Productions,  Major Studio Partners"
John Wick," MJW Films, Thunder Road Pictures,  DefyNite Films,  Warner Bros.,  87Eleven"
Johnny English," StudioCanal, Universal Pictures"
Johnny English Reborn,Universal Pictures
Johnson Family Vacation," Hallway Pictures, Fox Searchlight Pictures,  Bird and a Bear Entertainment,  Catch Productions"
Jonah Hex,Warner Bros.
Journey 2: The Mysterious Island,"New Line Cinema,  Contrafilm,  Walden Media"
Journey to the Center of the Earth,"New Line Cinema,  Walden Media"
Joy Ride," New Regency Pictures,  Bad Robot,  Epsilon Motion Pictures, Regency Enterprises,  LivePlanet"
Julie & Julia,"Columbia Pictures,  Easy There Tiger Productions,  Scott Rudin Productions"
Jumper,"Dune Entertainment,  New Regency Pictures,  Hypnotic"
Jumping the Broom," TDJ Enterprises / New Dimensions Entertainment,  Our Stories Films,  Stage 6 Films, TriStar Pictures,  Sony Pictures Worldwide Acquisitions (SPWA)"
Juno,"Fox Searchlight Pictures,  Mandate Pictures"
Jupiter Ascending," Warner Bros., Village Roadshow Pictures,  Dune Entertainment,  Anarchos Productions"
Jurassic Park III,"Universal Studios,  Amblin Entertainment"
Jurassic World," Amblin Entertainment, Universal Studios,  Dentsu,  Legendary Pictures,  Fuji Television Network"
Just Go With It,"Columbia Pictures,  Happy Madison Productions"
Just Like Heaven,"DreamWorks SKG,  MacDonald/Parkes Productions"
Just Married," Robert Simonds Productions, Twentieth Century Fox Film Corporation,  Mediastream Dritte Film GmbH & Co. Beteiligungs KG"
Just My Luck," Cheyenne Enterprises,  New Regency Pictures, Regency Enterprises"
Justin Bieber: Never Say Never," Magical Elves Productions,  Scooter Braun Films, Insurge Pictures"
K-19: The Widowmaker," Palomar Pictures (II),  Intermedia Films,  New Regency Pictures, Paramount Pictures,  National Geographic Society"
K-PAX,"Intermedia Films,  Lawrence Gordon Productions,  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,  PathÃ© Pictures International"
Katy Perry: Part of Me," Imagine Entertainment,  Insurge Pictures,  MTV Films, Paramount Pictures"
Keeping the Faith," Triple Threat Talent, Spyglass Entertainment,  Touchstone Pictures"
Khumba,Triggerfish Animation
Kick-Ass,Lions Gate
Kicking & Screaming,Universal Pictures
Kill Bill: Vol. 1," Super Cool ManChu, Miramax Films,  A Band Apart"
Kill Bill: Vol. 2," Super Cool ManChu, Miramax Films,  A Band Apart"
Kill the Messenger," Bluegrass Films, The Combine"
Killer Elite,"Current Entertainment,  International Traders,  Ambience Entertainment,  Omnilab Media,  Open Road Films"
Killer Joe," Picture Perfect (I), Voltage pictures,  Worldview Entertainment,  ANA Media"
Killers," Lionsgate, Katalyst Films,  Aversano Films"
Killing Them Softly," Annapurna Pictures,  Inferno Entertainment, Plan B Entertainment,  Chockstone Pictures,  1984 Private Defense Contractors"
King Arthur,"Jerry Bruckheimer Films,  Touchstone Pictures,  Green Hills Productions,  World 2000 Entertainment"
King Kong," Big Primate Pictures,  Universal Pictures,  MFPV Film, WingNut Films"
Kingdom of Heaven," Twentieth Century Fox Film Corporation, Studio Babelsberg,  Dune Films,  Scott Free Productions,  Kanzaman"
Kingsman: The Secret Service," Marv Films,  TSG Entertainment, Twentieth Century Fox Film Corporation,  Cloudy Productions"
Kiss of the Dragon,"Twentieth Century Fox Film Corporation,  Current Entertainment,  Immortal Entertainment,  EuropaCorp,  Canal+"
Knight and Day," Pink Machine,  Regency Enterprises, Tree Line Films,  Dune Entertainment,  Twentieth Century Fox Film Corporation"
Knockaround Guys,Lawrence Bender Productions
Knocked Up,"Universal Pictures,  Apatow Productions"
Knowing," Kaplan/Perrone Entertainment,  Mystery Clock Cinema,  Escape Artists, Summit Entertainment,  Goldcrest Pictures"
Krampus," Legendary Pictures, Universal Pictures"
Kung Fu Panda,DreamWorks Animation
Kung Fu Panda 2,DreamWorks Animation
La migliore offerta," Business Location Sudtirol Alto Adige,  Friuli Venezia Giulia Film Commission,  Regione Lazio, Paco Cinematografica,  Warner Bros."
Ladder 49," Fantail Films Inc.,  Beacon Communications,  Touchstone Pictures, Casey Silver Productions,  Beacon Pictures"
Lady in the Water," Warner Bros.,  Blinding Edge Pictures, Legendary Pictures"
Lakeview Terrace,"Screen Gems,  Overbrook Entertainment"
Land of the Dead," Romero-Grunwald Productions,  Exception Wild Bunch,  Atmosphere Entertainment MM, Universal Pictures"
Land of the Lost," Sid & Marty Krofft Pictures,  Relativity Media,  Mosaic Media Group, Universal Pictures"
Lara Croft Tomb Raider: The Cradle of Life," Lawrence Gordon Productions,  Mutual Film Company,  Toho-Towa,  British Broadcasting Corporation (BBC), Paramount Pictures"
Lara Croft: Tomb Raider,"Paramount Pictures,  Lawrence Gordon Productions,  Mutual Film Company,  British Broadcasting Corporation (BBC),  Toho-Towa"
Larry Crowne,"Universal Pictures,  Playtone Productions,  Vendome Pictures"
Last Holiday,Paramount Pictures
Last Vegas," Outlaw Sinema, Laurence Mark Productions,  Good Universe,  Gidden Media,  CBS Films"
Law Abiding Citizen," Warp Films,  The,  Evil Twins, Film Department"
Lawless," Annapurna Pictures,  Yucaipa Films,  Benaroya Pictures, The Weinstein Company,  Pie Films Inc."
Leap Year," BenderSpink,  Octagon Films,  Spyglass Entertainment,  Birnbaum/Barber, Universal Pictures"
Left Behind,Stoney Lake Entertainment
Legally Blonde," Metro-Goldwyn-Mayer (MGM), Marc Platt Productions"
"Legally Blonde 2: Red, White & Blonde"," Metro-Goldwyn-Mayer (MGM),  Marc Platt Productions, Type A Films"
Legend," Anton Capital Entertainment (ACE),  Cross Creek Pictures, Working Title Films"
Legend of the Guardians: The Owls of Ga'Hoole," Animal Logic, Village Roadshow Pictures,  Cruel and Unusual Films,  Warner Bros."
Legends of Oz: Dorothy's Return," Summertime Entertainment, Prana Animation Studios"
Legion,Bold Films
Lemony Snicket's A Series of Unfortunate Events," Nickelodeon Movies,  DreamWorks Pictures,  Scott Rudin Productions,  Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG, Paramount Pictures"
Les MisÃ©rables," Working Title Films, Universal Pictures,  CAMERON MACKINTOSH,  Relativity Media"
Let Me In,"Hammer Film Productions,  Exclusive Media Group,  Overture Films,  EFTI"
Let's Be Cops,"Twentieth Century Fox Film Corporation,  Genre Films,  WideAwake"
Letters from Iwo Jima," Malpaso Productions,  Amblin Entertainment,  Warner Bros., DreamWorks SKG"
License to Wed,"Village Roadshow Pictures,  Robert Simonds Productions,  Phoenix Pictures,  Underground,  Warner Bros. Pictures"
Life as We Know It,"Josephson Entertainment,  Gold Circle Films,  Village Roadshow Pictures Asia"
Life of Pi," Ingenious Media,  Fox 2000 Pictures, Ingenious Film Partners,  Dune Entertainment,  Big Screen Productions"
Lilo & Stitch,"Walt Disney Pictures,  Walt Disney Feature Animation"
Limitless," Relativity Media, Rogue Pictures,  Boy of the Year,  Many Rivers Productions,  Virgin Produced"
Lions for Lambs," United Artists, Cruise/Wagner Productions,  Wildwood Enterprises,  Andell Entertainment,  Metro-Goldwyn-Mayer (MGM)"
Little Black Book," Blue Star Pictures, Revolution Studios"
Little Boy,Metanoia Films
Little Fockers,"Paramount Pictures,  Everyman Pictures,  Universal Pictures,  Dreamworks Pictures,  Relativity Media"
Little Man," Wayans Bros. Entertainment, Revolution Studios"
Little Miss Sunshine," Bona Fide Productions, Fox Searchlight Pictures,  Big Beach Films"
Live Free or Die Hard,"Ingenious Film Partners,  Dune Entertainment,  Cheyenne Enterprises,  Wintergreen Productions,  Twentieth Century Fox Film Corporation"
Lo imposible," Canal+ EspaÃ±a,  Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),  Apaches Entertainment, Summit Entertainment,  Telecinco Cinema"
Lockout," EuropaCorp,  CinÃ©+, Canal+"
London Boulevard," Projection Pictures, GK Films,  Henceforth,  London Boulevard"
Lone Survivor,"Universal Pictures,  Closest to the Hole Productions,  Weed Road Pictures,  Herrick Entertainment,  Leverage Management"
Looney Tunes: Back in Action,"Lonely Film Productions GmbH & Co. KG.,  Warner Bros. Animation,  Warner Bros.,  Baltimore Spring Creek Productions,  Goldmann Pictures"
Looper," DMG Entertainment,  FilmDistrict, Endgame Entertainment,  Ram Bergman Productions"
Lord of War," Ascendant Pictures,  Rising Star,  Endgame Entertainment, Saturn Films,  Entertainment Manufacturing Company"
Lords of Dogtown," TriStar Pictures, Columbia Pictures"
Love & Basketball,40 Acres & A Mule Filmworks
Love & Other Drugs," Dune Entertainment,  Fox 2000 Pictures,  Regency Enterprises,  Stuber Productions, Bedford Falls Productions"
Love Actually,DNA Films
Love Happens," Relativity Media,  Stuber Productions,  Camp / Thompson Pictures,  Scion Films, Universal Pictures"
Love in the Time of Cholera,"New Line Cinema,  Grosvenor Park Media Ltd."
Love the Coopers," Groundswell Productions,  CBS Films, Imagine Entertainment"
Lucky Number Slevin,"The Weinstein Company,  Capitol Films,  FilmEngine,  Ascendant Pictures,  VIP Medienfonds 4"
Lucy," EuropaCorp, Universal Pictures,  CinÃ©+,  TF1 Films Production,  Canal+"
MacGruber,Relativity Media
Machete," Dune Entertainment III,  Overnight Films,  Troublemaker Studios, Dune Entertainment"
Machete Kills," Overnight Films,  AR Films,  Aldamisa Entertainment,  Demarest Films, Open Road Films"
Machine Gun Preacher," Relativity Media,  Moonlighting Films, Mpower Pictures,  Virgin Produced,  1984 Private Defense Contractors"
Mad Max: Fury Road," Kennedy Miller Productions, Village Roadshow Pictures"
Madagascar," DreamWorks Animation, DreamWorks SKG,  Pacific Data Images (PDI)"
Madagascar 3: Europe's Most Wanted,DreamWorks Animation
Madagascar: Escape 2 Africa,DreamWorks Animation
Made of Honor," Original Film, Columbia Pictures"
Magic Mike,"Nick Wechsler Productions,  Extension 765"
Magic Mike XXL," Iron Horse Entertainment (II), Warner Bros."
Maid in Manhattan,"Columbia Pictures,  Revolution Studios,  Hughes Entertainment,  Shoelace Productions"
Maleficent," Roth Films, Walt Disney Pictures"
Mama," Toma 78,  De Milo, Universal Pictures"
Mamma Mia!," Littlestar,  Playtone,  Internationale Filmproduktion Richter, Universal Pictures,  Relativity Media"
Man of Steel," Syncopy, Legendary Pictures,  Cruel and Unusual Films,  Warner Bros.,  DC Entertainment"
Man of Tai Chi," Company Films,  China Film Group Corporation (CFGC),  Village Roadshow Pictures,  Dalian Wanda Group, Universal Pictures"
Man of the Year," Morgan Creek Productions, Universal Pictures"
Man on Fire," Epsilon Motion Pictures,  Fox 2000 Pictures,  Scott Free Productions, Regency Enterprises,  New Regency Pictures"
Man on a Ledge,"Summit Entertainment,  Di Bonaventura Picture"
Mandela: Long Walk to Freedom,"Distant Horizons,  Videovision Entertainment,  Pathe,  Origin Pictures,  Film Afrika Worldwide"
Mao's Last Dancer,Great Scott Productions Pty. Ltd.
Marie Antoinette," Tohokushinsha Film,  Pricel,  Columbia Pictures Corporation, American Zoetrope,  Commission du Film France"
Marley & Me," Dune Entertainment III, Sunswept Entertainment"
Marmaduke,Twentieth Century Fox Film Corporation
Mars Needs Moms,Walt Disney Animation Studios
Master and Commander: The Far Side of the World,"Universal Pictures,  Twentieth Century Fox Film Corporation,  Miramax,  Samuel Goldwyn Films"
Match Point,DreamWorks
Max,"Sunswept Entertainment,  Metro-Goldwyn-Mayer (MGM),  Warner Bros."
Max Keeble's Big Move,"Walt Disney Pictures,  Karz Entertainment"
Max Payne," Collision Entertainment,  Abandon Entertainment, Dune Entertainment,  Firm Films,  Foxtor Productions"
Maze Runner: The Scorch Trials,"Gotham Group,  TSG Entertainment,  Temple Hill Entertainment"
Me and Orson Welles,"Isle of Man Film,  Freestyle Releasing,  CinemaNX"
"Me, Myself & Irene","Twentieth Century Fox Film Corporation,  Conundrum Entertainment"
Mean Girls,Paramount Pictures
Meet Dave," Regency Enterprises, 20th Century Fox,  Deep River Productions,  Guy Walks into a Bar Productions"
Meet the Fockers," Tribeca Productions,  Everyman Pictures, DreamWorks SKG,  Universal Pictures"
Meet the Parents,"DreamWorks SKG,  Nancy Tenenbaum Films,  Universal Pictures,  Tribeca Productions"
Meet the Robinsons,"Walt Disney Pictures,  Walt Disney Animation Studios"
Meet the Spartans," New Regency Pictures, Regency Enterprises"
Megamind,DreamWorks Animation
Memento," Newmarket Capital Group,  Team Todd, Summit Entertainment,  I Remember Productions"
Memoirs of a Geisha," Columbia Pictures Corporation,  Red Wagon Productions,  Spyglass Entertainment, DreamWorks SKG"
Men in Black 3," Parkes/MacDonald Productions,  Media Magik Entertainment,  Imagenation Abu Dhabi FZ, Amblin Entertainment,  Hemisphere Media Capital"
Men in Black II,"Columbia Pictures,  Columbia Pictures Corporation,  Amblin Entertainment,  Parkes+MacDonald Image Nation"
Men of Honor,Fox 2000 Pictures
Metallica: Through the Never," Picturehouse Entertainment, Exclusive Media Group"
Miami Vice," Foqus Arte Digital,  Forward Pass,  Motion Picture ETA Produktionsgesellschaft,  Metropolis Films, Universal Pictures"
Michael Clayton," Mirage Enterprises, Castle Rock Entertainment,  Section Eight Productions"
Milk,Focus Features
Million Dollar Arm,Walt Disney Pictures
Million Dollar Baby," Epsilon Motion Pictures,  Warner Bros.,  Malpaso Productions, Lakeshore Entertainment,  Albert S. Ruddy Productions"
Mindhunters,"Avenue Pictures Productions,  Egmond Film & Television,  Intermedia Films,  Dimension Films,  Weed Road Pictures"
Minions,"Universal Pictures,  Illumination Entertainment"
Minority Report," Amblin Entertainment,  Twentieth Century Fox Film Corporation, DreamWorks SKG,  Cruise/Wagner Productions,  Blue Tulip Productions"
Miracle,Walt Disney
Mirror Mirror,"Relativity Media,  Rat Entertainment,  Yucaipa Films,  Goldmann Pictures,  Misher Films"
Mirrors,"Regency Enterprises,  Castel Film Romania,  New Regency Pictures,  ASAF,  Luna Pictures"
Miss Congeniality," Fortis Films, Village Roadshow Pictures,  Warner Bros.,  Castle Rock Entertainment,  NPV Entertainment"
Miss Potter,BBC Films
Mission to Mars,"Spyglass Entertainment,  The Jacobson Company,  Touchstone Pictures,  Red Horizon Productions"
Mission: Impossible - Ghost Protocol," Bad Robot,  Skydance Productions, Paramount Pictures,  Revolution Sun Studios,  TC Productions"
Mission: Impossible - Rogue Nation,"Paramount Pictures,  China Movie Channel,  Bad Robot,  TC Productions,  Skydance Productions"
Mission: Impossible II,"Paramount Pictures,  Cruise/Wagner Productions,  Munich Film Partners & Company (MFP) MI2 Productions"
Mission: Impossible III," Cruise/Wagner Productions,  Studio Babelsberg,  China Film Co-Production Corporation,  MI 3 Film, Paramount Pictures"
Moms' Night Out," Pure Flix Entertainment,  FourBoys Entertainment, TriStar Pictures,  Affirm Films,  Provident Films"
Moneyball," Scott Rudin Productions, Columbia Pictures"
Monkeybone,"20th Century Fox,  1492 Pictures"
Monster,Newmarket Films
Monster House," Sony Pictures Animation, Columbia Pictures,  ImageMovers,  Amblin Entertainment,  Sony Pictures Entertainment"
Monster-in-Law," BenderSpink, New Line Cinema,  Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG,  Spring Creek Productions"
Monsters University,"Walt Disney Pictures,  Pixar Animation Studios"
Monsters vs Aliens,DreamWorks Animation
"Monsters, Inc.","Walt Disney Pictures,  Pixar Animation Studios"
Monte Carlo," Regency Enterprises,  Fox 2000 Pictures, Dune Entertainment,  Dune Entertainment III,  DiNovi Pictures"
Moon,"Liberty Films UK,  Lunar Industries,  Limelight Fund,  Xingu Films"
Moonrise Kingdom," American Empirical Pictures,  Moonrise,  Indian Paintbrush, Scott Rudin Productions"
Morning Glory," Goldcrest Pictures, Bad Robot"
Mortdecai," Huayi Brothers Media,  OddLot Entertainment,  Mad Chance, Lionsgate"
Moulin Rouge!," Twentieth Century Fox Film Corporation, Bazmark Films"
Movie 43,"Greenestreet Films,  Relativity Media,  Witness Protection Films,  Wessler Entertainment,  Virgin Produced"
Mr. & Mrs. Smith,"20th Century Fox,  New Regency Productions,  Dutch Oven,  Weed Road Pictures,  Summit Entertainment"
Mr. 3000,Touchstone Pictures
Mr. Bean's Holiday," Working Title Films, Tiger Aspect Productions"
Mr. Brooks," Element Films, Tig Productions,  Relativity Media,  Eden Rock Media"
Mr. Deeds," Columbia Pictures Corporation, New Line Cinema,  Happy Madison Productions,  Out of the Blue... Entertainment"
Mr. Nobody,"Pan EuropÃ©enne Production,  Virtual Films"
Mr. Peabody & Sherman,20th Century Fox
Mud," Everest Entertainment, FilmNation Entertainment"
Mulholland Drive," Canal+,  Les Films Alain Sarde,  Babbo Inc., Asymmetrical Productions,  The Picture Factory"
Munich," Alliance Atlantis Communications,  Universal Pictures,  Peninsula Films,  Amblin Entertainment, DreamWorks SKG"
Muppets Most Wanted," Disney, Buena Vista"
Murder by Numbers," Warner Bros. Pictures,  Schroeder Hoffman Productions, Castle Rock Entertainment"
Music and Lyrics," Castle Rock Entertainment, Village Roadshow Pictures,  Flower Films (II),  Reserve Room"
Mutant Chronicles,"Isle of Man Film,  Edward R. Pressman Film,  First Foot Films,  Paradox Entertainment"
My Best Friend's Girl," Terra Firma Films, Lionsgate,  Superfinger Entertainment,  Management 360,  New Wave Entertainment"
My Big Fat Greek Wedding,"MPH Entertainment,  Gold Circle Films,  Playtone Productions"
My Bloody Valentine,Lionsgate
My Blueberry Nights," Jet Tone Production,  StudioCanal,  Lou Yi Inc., Block 2 Pictures"
My Life in Ruins,"Fox Searchlight Pictures,  26 Films"
My Sister's Keeper," Gran Via Productions, Mark Johnson Productions,  Curmudgeon Films"
My Soul to Take," Rogue, Relativity Media"
My Week with Marilyn," The Weinstein Company, BBC Films,  Trademark Films,  UK Film Council,  Lip Sync Post"
Mystic River,"Village Roadshow Pictures,  NPV Entertainment,  Malpaso Productions,  Warner Bros."
Nacho Libre," Nickelodeon Movies,  Black & White Productions, Paramount Pictures"
Nanny McPhee," Three Strange Angels, Universal Pictures,  Studio Canal,  Metro-Goldwyn-Mayer (MGM),  Working Title Films"
Nanny McPhee and the Big Bang," Studio Canal,  Three Strange Angels, Universal Pictures,  Relativity Media,  Working Title Films"
National Lampoonâ€™s Van Wilder," Artisan Entertainment, Tapestry Films"
National Treasure," Junction Entertainment,  Saturn Films,  Jerry Bruckheimer Films, Walt Disney Pictures"
National Treasure: Book of Secrets," Junction Entertainment,  Walt Disney,  Sparkler Entertainment, Jerry Bruckheimer Films,  Saturn Films"
Nebraska," Bona Fide Productions, Paramount Vantage"
Need for Speed," Bandito Brothers, DreamWorks SKG,  Electronic Arts,  Reliance Entertainment,  Touchstone Pictures"
Neighbors," Good Universe, Universal Pictures,  Point Grey Pictures"
Never Back Down,"Summit Entertainment,  Mandalay Pictures,  Baumgarten Management and Productions (BMP)"
Never Let Me Go,"Fox Searchlight Pictures,  DNA Films,  Film4"
New Year's Eve,New Line Cinema
New in Town," Gold Circle Films, Lionsgate,  The Safran Company,  Epidemic Pictures,  Edmonds Entertainment Group (EEG)"
Next," Saturn Films,  Broken Road Productions, Paramount Pictures,  Virtual Studios,  Revolution Studios"
Next Friday,New Line Cinema
Nick and Norah's Infinite Playlist," Depth of Field,  Mandate Pictures,  Screen Gems, Columbia Pictures"
Night at the Museum,"Ingenious Film Partners,  1492 Pictures,  Twentieth Century Fox Film Corporation,  21 Laps Entertainment"
Night at the Museum: Battle of the Smithsonian,"Twentieth Century Fox Film Corporation,  Museum Canada Productions,  1492 Pictures,  Dune Entertainment,  21 Laps Entertainment"
Night at the Museum: Secret of the Tomb," TSG Entertainment,  21 Laps Entertainment,  1492 Pictures,  Moving Picture Company (MPC), Twentieth Century Fox Film Corporation"
Nightcrawler," Sierra / Affinity, Bold Films"
Nim's Island,Walden Media
Ninja Assassin," Legendary Pictures, Studio Babelsberg,  Anarchos Productions,  Silver Pictures,  Dark Castle Entertainment"
No Country for Old Men," Paramount Vantage,  Mike Zoss Productions,  Scott Rudin Productions, Miramax Films"
No Escape,"Bold Films,  Brothers Dowdle Productions,  Living Films"
No Good Deed," Screen Gems, Sony Pictures"
No Reservations," Warner Bros.,  WV Films III,  Storefront Pictures, Village Roadshow Pictures,  Castle Rock Entertainment"
No Strings Attached,"Paramount Pictures,  Montecito Picture Company,  Spyglass Entertainment,  Cold Spring Pictures,  Katalyst Films,  The"
Noah," Disruption Entertainment,  Regency Enterprises, Paramount Pictures,  Protozoa Pictures"
Non-Stop," TF1 Films Production, StudioCanal,  Silver Pictures,  Anton Capital Entertainment (ACE),  Canal+"
Norbit," Tollin/Robbins Productions, DreamWorks SKG,  Davis Entertainment"
North Country," Participant Media, Warner Bros.,  Nick Wechsler Productions"
Not Another Teen Movie," Columbia Pictures Corporation,  Neal H. Moritz Productions, Original Film"
Notes on a Scandal," Scott Rudin Productions,  BBC Films,  DNA Films,  Ingenious Film Partners, Fox Searchlight Pictures"
Now You See Me," K/O Paper Products, Summit Entertainment,  SOIXAN7E QUIN5E,  See Me Louisiana"
Nutty Professor II: The Klumps," Universal Pictures, Imagine Entertainment"
"O Brother, Where Art Thou?"," Studio Canal,  Touchstone Pictures, Universal Pictures"
Oblivion," Monolith Pictures (III), Universal Pictures,  Radical Studios,  Chernin Entertainment,  Relativity Media"
Obsessed,Sony Pictures
Ocean's Eleven," NPV Entertainment,  Jerry Weintraub Productions,  Warner Bros.,  Section Eight, Village Roadshow Pictures"
Ocean's Thirteen," Jerry Weintraub Productions,  Warner Bros.,  Section Eight, Village Roadshow Pictures"
Ocean's Twelve," Warner Bros.,  WV Films III, Village Roadshow Pictures,  Section Eight,  Jerry Weintraub Productions"
Oculus," Relativity Media,  WWE Studios,  MICA Entertainment, Intrepid Pictures,  Blumhouse Productions"
Old Dogs,"Walt Disney Pictures,  Tapestry Films"
Old School," The Montecito Picture Company, DreamWorks SKG"
Oldboy,"Vertigo Entertainment,  40 Acres & A Mule Filmworks,  OB Productions,  Good Universe"
Olympus Has Fallen,"Nu Image Films,  Millennium Films"
On the Road,"American Zoetrope,  France 2 CinÃ©ma,  Vanguard Films,  VideoFilmes,  Canal+"
Once Upon a Time in Mexico,"Columbia Pictures Corporation,  Dimension Films,  Troublemaker Studios"
One Day,"Film 4,  Color Force"
One Hour Photo," Catch 23 Entertainment, Fox Searchlight Pictures"
One for the Money," Sidney Kimmel Entertainment, Lakeshore Entertainment"
Open Range," Touchstone Pictures,  Beacon Pictures,  Cobalt Media Group, Tig Productions"
Open Season,Sony Pictures Animation
Original Sin,Metro-Goldwyn-Mayer (MGM)
Orphan," Don Carmody Productions, Dark Castle Entertainment,  Studio Babelsberg StudioBabelsberg Motion Pictures,  Studio Canal"
