original_title,production_companies
The Terminal,DreamWorks SKG
The Four Feathers, Miramax Films
Dolphin Tale 2,Alcon Entertainment
Precious,Smokewood Entertainment Group
Untraceable,Lakeshore Entertainment
Moneyball, Scott Rudin Productions
xXx, Original Film
Kick-Ass,Lions Gate
Looney Tunes: Back in Action, Warner Bros. Animation
Mr. Nobody, Virtual Films
Elizabethtown, Vinyl Films
What Lies Beneath, ImageMovers
In Time, New Regency Pictures
Gossip,Warner Bros. Pictures
Joy Ride, Epsilon Motion Pictures
Annabelle, RatPac-Dune Entertainment
Bandslam, Goldsmith-Thomas Productions
The Monuments Men, Fox 2000 Pictures
Love the Coopers, CBS Films
Identity Thief, DumbDumb
Bullet to the Head,Dark Castle Entertainment
You Again, Touchstone Pictures
Closer,Columbia Pictures
Pacific Rim, Disney Double Dare You (DDY)
August Rush, Southpaw Entertainment
Catwoman, Frantic Films
"Yours, Mine & Ours", Robert Simonds Productions
Charlie and the Chocolate Factory,Village Roadshow Pictures
The Devil Wears Prada,Twentieth Century Fox Film Corporation
Movie 43, Relativity Media
The Bourne Supremacy, Ludlum Entertainment
Oculus, WWE Studios
Run All Night, RatPac-Dune Entertainment
The Longest Ride,Fox 2000 Pictures
Perfume: The Story of a Murderer, Rising Star
Trainwreck, Fuji Television Network
Fool's Gold,De Line Pictures
The Game Plan, Mayhem Pictures
The Island, Parkes/MacDonald Productions
Coach Carter,Paramount Pictures
Centurion,PathÃ© Pictures International
Blackhat, Forward Pass
Mission: Impossible II,Paramount Pictures
12 Years a Slave, New Regency Pictures
The Perfect Game, The
Man on Fire, Fox 2000 Pictures
Seven Pounds, Escape Artists
Harry Potter and the Deathly Hallows: Part 2,Warner Bros.
Tenacious D in The Pick of Destiny,Red Hour Films
Get Him to the Greek, Relativity Media
Penguins of Madagascar,DreamWorks Animation
Battle: Los Angeles, Original Film
Honey,Universal Pictures
Trance, PathÃ©
Black Mass, Head Gear Films
The Age of Adaline, Sierra/Affinity
Jack the Giant Slayer, Original Film
The Midnight Meat Train,Lions Gate Films
Stardust, Di Bonaventura Pictures
Soul Surfer, Affirm Films
Grudge Match,Gerber Pictures
The Place Beyond the Pines,Sidney Kimmel Entertainment
A Scanner Darkly,Thousand Words
Monster House, ImageMovers
Confessions of a Shopaholic, Touchstone Pictures
Devil,Universal Pictures
The Hunger Games: Mockingjay - Part 2, Walt Disney Studios Motion Pictures
The Revenant, Appian Way
The Incredibles, Pixar Animation Studios
Unbreakable, Blinding Edge Pictures
Everything Must Go,Birdsong Pictures
King Kong, MFPV Film
No Country for Old Men, Mike Zoss Productions
The Mechanic, Millennium Films
Broken City, Inferno International
Open Range, Cobalt Media Group
The House Bunny, Alta Loma Entertainment
22 Jump Street,Columbia Pictures
Titan A.E., David Kirschner Productions
Music and Lyrics,Village Roadshow Pictures
Daredevil, New Regency Pictures
Oculus, MICA Entertainment
Knight and Day, Regency Enterprises
Dallas Buyers Club, Voltage Pictures
One Day, Color Force
Not Another Teen Movie, Columbia Pictures Corporation
Furious 7, Media Rights Capital
He's Just Not That Into You, Flower Films (II)
Godzilla, Legendary Pictures
Behind the Candelabra,HBO Films
Grown Ups 2,Columbia Pictures
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Walt Disney Pictures
Sex Tape, Sony Pictures Entertainment (SPE)
Dinosaur,Walt Disney Pictures
Bridget Jones: The Edge of Reason, Atlantic Television
Bandits, Metro-Goldwyn-Mayer (MGM)
Underworld: Rise of the Lycans, UW3 Film Productions
Over the Hedge,Pacific Data Images (PDI)
Interstellar, Lynda Obst Productions
White House Down, Mythology Entertainment (II)
Spider-Man 2,Laura Ziskin Productions
Green Lantern, Warner Bros.
The Haunted Mansion, Doom Buggy Productions
The Perfect Game, Lone Runner Entertainment
Jurassic Park III, Amblin Entertainment
Apocalypto, Touchstone Pictures
Swordfish, NPV Entertainment
Knowing, Kaplan/Perrone Entertainment
I Am Legend,Village Roadshow Pictures
A Good Day to Die Hard, Mid Atlantic Films
The Interpreter, Misher Films
300: Rise of an Empire, Warner Bros.
This Must Be the Place, Indigo Film
Bad Teacher, Mosaic Media Group
Snitch, Imagenation Abu Dhabi FZ
Gnomeo & Juliet, Touchstone Pictures
Wrong Turn,Summit Entertainment
Contagion,Double Feature Films
Interstellar, Syncopy
Becoming Jane, Bueprint Pictures
Paranormal Activity: The Marked Ones, Solana Films
Hall Pass,New Line Cinema
Lockout, CinÃ©+
Hereafter, Warner Bros.
Million Dollar Baby, Malpaso Productions
Crash, ApolloProScreen Filmproduktion
The House Bunny,Columbia Pictures
The Midnight Meat Train, Lakeshore Entertainment
Igby Goes Down,United Artists
The Family Man,Universal Pictures
Fahrenheit 9/11,BIM Distribuzione
The Fault in Our Stars, TSG Entertainment
Four Christmases,New Line Cinema
Mutant Chronicles, Edward R. Pressman Film
Changeling,Imagine Entertainment
The Help, 1492 Pictures
Harry Potter and the Philosopher's Stone, Heyday Films
Nanny McPhee and the Big Bang, Working Title Films
I Know Who Killed Me,TriStar Pictures
The Invention of Lying, Wintergreen Productions
Charlie Wilson's War,Universal Pictures
The Mortal Instruments: City of Bones,Constantin Film Produktion
Mars Needs Moms,Walt Disney Animation Studios
Peter Pan, Universal Pictures
The Iron Lady, CinÃ©CinÃ©ma
Secretariat, Mayhem Pictures
Woman in Gold,BBC Films
Mr. Brooks, Eden Rock Media
Shorts,Warner Bros. Pictures
Max Payne,Dune Entertainment
Training Day, NPV Entertainment
Insurgent, NeoReel
The Smurfs 2,Columbia Pictures
Alvin and the Chipmunks, Fox 2000 Pictures
Transsiberian, Canal+ EspaÃ±a
Aliens in the Attic,Twentieth Century Fox Film Corporation
The Emperor's New Groove, Walt Disney Feature Animation
Frankenweenie, Tim Burton Productions
Twilight, Goldcrest Pictures
Bewitched, Red Wagon Entertainment
The Three Musketeers, Constantin Film Produktion
Vantage Point,Columbia Pictures
Eastern Promises,BBC Films
The Three Musketeers, Studio Babelsberg
Mulholland Drive, Les Films Alain Sarde
Drive, Odd Lot Entertainment
X-Men: Days of Future Past,Twentieth Century Fox Film Corporation
The Patriot, Mutual Film Company
Horton Hears a Who!, Twentieth Century Fox Animation
Epic Movie, Paul Schiff Productions
Ice Age: The Meltdown,Blue Sky Studios
Red Dawn,Contrafilm
Gothika,Columbia Pictures Corporation
The Sentinel, Dune Entertainment
A Dangerous Method, Prospero Pictures
Redemption,Lionsgate
Mamma Mia!, Playtone
New in Town, The Safran Company
All Is Lost, Before the Door Pictures
Hellboy II: The Golden Army, Dark Horse Entertainment
Katy Perry: Part of Me, Insurge Pictures
Wimbledon,Universal Pictures
Brideshead Revisited, UK Film Council
Adventureland,Miramax Films
Muppets Most Wanted,Buena Vista
The Revenant, CatchPlay
Lucy, CinÃ©+
Lucky Number Slevin, FilmEngine
The Hunger Games: Mockingjay - Part 1, Color Force
Ghost Ship, Dark Castle Entertainment
The Guest, Snoot Entertainment
King Kong,WingNut Films
Charlie and the Chocolate Factory, Plan B Entertainment
Red Tails, Lucasfilm Ltd.
"Legally Blonde 2: Red, White & Blonde",Type A Films
Jack Reacher, Mutual Film Company
Vanilla Sky, Vinyl Films
27 Dresses,Spyglass Entertainment
Solaris, Lightstorm Entertainment
Australia, ScreenWest
Hitch, Overbrook Entertainment
City By The Sea, Sea Breeze Productions Inc.
Stealth, Phoenix Pictures
WALLÂ·E, Pixar Animation Studios
Mr. 3000,Touchstone Pictures
Master and Commander: The Far Side of the World, Miramax
Kill Bill: Vol. 1,Miramax Films
Terminator Genisys, Skydance Productions
Madagascar, Pacific Data Images (PDI)
X-Men: First Class, Dune Entertainment
What If, Caramel Film
Changeling, Malpaso Productions
Jem and the Holograms, Allspark Pictures
Gran Torino, Warner Bros.
World War Z, Skydance Productions
The Butterfly Effect, BenderSpink
Scooby-Doo,Atlas Entertainment
American Gangster, Universal Pictures
Dredd, Peach Trees
The Assassination of Jesse James by the Coward Robert Ford,Plan B Entertainment
Accepted, Shady Acres Entertainment
The Visit, Blinding Edge Pictures
The Spy Next Door, Spy Next Door
Man of Tai Chi, Village Roadshow Pictures
Dylan Dog: Dead of Night, Long Distance Films
True Grit,Paramount Pictures
Cloud Atlas,Anarchos Productions
An Unfinished Life, Initial Entertainment Group (IEG)
The Dark Knight, Warner Bros.
Foxcatcher, Annapurna Pictures
Burlesque,Bedford Falls Productions
Now You See Me, SOIXAN7E QUIN5E
The Pursuit of Happyness, Escape Artists
The Bourne Identity, Kalima Productions GmbH & Co. KG
Alice in Wonderland, Team Todd
Mr. Deeds,New Line Cinema
Machete, Overnight Films
Jackass Presents: Bad Grandpa,Paramount Pictures
The Bourne Legacy, Relativity Media
The Dark Knight,DC Comics
Brokeback Mountain,River Road Entertainment
A Scanner Darkly, Detour Filmproduction
Two Weeks Notice, NPV Entertainment
Sex Tape,Escape Artists
The Cat's Meow, CP Medien AG
Kill Bill: Vol. 2,Miramax Films
Memoirs of a Geisha, Spyglass Entertainment
Oldboy, 40 Acres & A Mule Filmworks
TRON: Legacy, Sean Bailey Productions
Charlie's Angels: Full Throttle, Tall Trees Productions
Space Chimps, Studiopolis
Vacation,New Line Cinema
This Is Where I Leave You, 21 Laps Entertainment
Endless Love, Bluegrass Films
Surrogates,Touchstone Pictures
The Thing, Strike Entertainment
Hart's War, Cheyenne Enterprises
Lawless, Pie Films Inc.
Kiss of the Dragon, Current Entertainment
The King's Speech, See-Saw Films
Dracula 2000,Neo Art & Logic
Centurion, Warner Bros.
Drag Me to Hell,Universal Pictures
Eternal Sunshine of the Spotless Mind, This Is That Productions
The Way Back, Monolith Films
Gran Torino, Gerber Pictures
Les MisÃ©rables, CAMERON MACKINTOSH
Poltergeist,Ghost House Pictures
Virgin Territory,Ingenious Film Partners
Duplicity, Medienproduktion Poseidon Filmgesellschaft
Burke & Hare, Aegis Film Fund
The 40 Year Old Virgin, Apatow Productions
The Host, Silver Reel
Notes on a Scandal, BBC Films
Couples Retreat, Relativity Media
Dancer in the Dark, Arte
Hannah Montana: The Movie, It's a Laugh Productions
Dreamcatcher,Village Roadshow Pictures
Warm Bodies,Summit Entertainment
The Little Prince, Orange Studios
Hannibal, Scott Free Productions
Meet the Parents, Universal Pictures
This Is the End,Columbia Pictures
Drive, Marc Platt Productions
Rango, Blind Wink
Monte Carlo,Dune Entertainment
Selma, PathÃ©
Cold Mountain, Cattleya
Big Miracle, Working Title Films
Wrong Turn, Newmarket Capital Group
Room, Duperele Films
The Adjustment Bureau,Universal Pictures
The Invention of Lying, Lynda Obst Productions
Hope Springs, Mandate Pictures
The Maze Runner, Gotham Group
Vacation, BenderSpink
Rambo, Millennium Films
This Is the End, Mandate Pictures
Death at a Funeral, Screen Gems
Hitman: Agent 47, Fox International Productions
Domino,New Line Cinema
The Informant!, Groundswell Productions
Paranormal Activity 4, Blumhouse Productions
Man of the Year,Universal Pictures
This Is Where I Leave You, Warner Bros.
Grindhouse, Dimension Films
Baggage Claim,Sneak Preview Productions
Shanghai Knights, Touchstone Pictures
Charlie and the Chocolate Factory, Tim Burton Productions
A Dangerous Method, The Movie Network
The Assassination of Jesse James by the Coward Robert Ford, Warner Bros.
Signs, Touchstone Pictures
Constantine, Donners' Company
North Country,Warner Bros.
The Nanny Diaries, FilmColony
Room, A24
Sex and the City 2, Village Roadshow Pictures
Dawn of the Planet of the Apes, Chernin Entertainment
Limitless,Rogue Pictures
Hellboy II: The Golden Army, Mid Atlantic Films
Solitary Man,Smartest Man Productions
The Hoax,Miramax Films
Lo imposible, Apaches Entertainment
Accepted,Universal Pictures
Devil, Relativity Media
Stomp the Yard,Rainforest Films
Journey to the Center of the Earth,New Line Cinema
The Three Musketeers, New Legacy
Blended, Karz Entertainment
Swordfish, Warner Bros.
Run Fatboy Run,Entertainment Films
Argo, Warner Bros.
21 & Over, SkyLand Entertainment
Surrogates, Top Shelf Productions
Silent Hill,Silent Hill DCP Inc.
Deux frÃ¨res, Pathe
The Wolverine, Bad Hat Harry Productions
The Karate Kid,Columbia Pictures
Need for Speed, Reliance Entertainment
The Mortal Instruments: City of Bones, Unique Features
The Incredible Hulk, Marvel Studios
G.I. Joe: The Rise of Cobra,Paramount Pictures
4: Rise of the Silver Surfer, 1492 Pictures
Cinderella, Genre Films
The Artist, La Petite Reine
The Forbidden Kingdom,Casey Silver Productions
The Guard, Element Pictures
About Schmidt,New Line Cinema
The Imitation Game, Bristol Automotive
Cloud Atlas, X-Filme Creative Pool
Priest, Michael De Luca Productions
Inherent Vice, Warner Bros.
Mr. Peabody & Sherman,20th Century Fox
Hellboy, Lawrence Gordon Productions
The Amazing Spider-Man 2, Matt Tolmach Productions
The Judge, Team Downey
The Dilemma, Universal Pictures
Transformers: Age of Extinction, Di Bonaventura Pictures
Dolphin Tale, Arc Productions
Chef,Open Road Films
John Q, Burg/Koules Productions
Spotlight,Participant Media
The Sorcerer's Apprentice, Broken Road Productions
Ð¡Ñ‚Ð°Ð»Ð¸Ð½Ð³Ñ€Ð°Ð´,Art Pictures Studio
Bridget Jones's Diary, Studio Canal
Jurassic World, Dentsu
Serendipity, Simon Fields Productions
The Butler, Follow Through Productions
Big Hero 6,Walt Disney Pictures
22 Jump Street, Media Rights Capital
Home on the Range,Walt Disney Pictures
AVP: Alien vs. Predator, Twentieth Century Fox Film Corporation
Night at the Museum, Twentieth Century Fox Film Corporation
Tomorrowland,Walt Disney Pictures
Cast Away, ImageMovers
The Lord of the Rings: The Return of the King,WingNut Films
Broken Flowers,Bac Films
Men in Black 3, Media Magik Entertainment
Julie & Julia, Scott Rudin Productions
A History of Violence, BenderSpink
Furry Vengeance, Furry Vengeance Productions
J. Edgar, Malpaso Productions
Lone Survivor, Closest to the Hole Productions
Pan,Warner Bros.
Valkyrie, Metro-Goldwyn-Mayer (MGM)
Getaway, Silver Reel
Horrible Bosses 2, BenderSpink
Home, DreamWorks Animation
The Wolverine, Donners' Company
Brick Mansions, D8
The Eagle, Twins Financing
Eternal Sunshine of the Spotless Mind, Focus Features
Why Did I Get Married Too?,Lions Gate Films
Gangs of New York, Initial Entertainment Group (IEG)
In the Valley of Elah, Blackfriars Bridge Films
12 Rounds,The Mark Gordon Company
Prometheus, Scott Free Productions
In Bruges, Focus Features
Paranoia,Gaumont
Mr. Deeds, Happy Madison Productions
Legends of Oz: Dorothy's Return, Summertime Entertainment
Attack the Block,UK Film Council
Alvin and the Chipmunks: The Squeakquel, Fox 2000 Pictures
Bringing Down The House,Hyde Park Films
Blade: Trinity, Shawn Danielle Productions Ltd.
TMNT, Warner Bros.
Yogi Bear, Warner Bros. Animation
Crank, GreeneStreet Films
Kill Bill: Vol. 2, A Band Apart
Case 39,Paramount Vantage
Swimming Pool, FidÃ©litÃ© Productions
The Equalizer, Escape Artists
Metallica: Through the Never,Exclusive Media Group
Killer Elite, Ambience Entertainment
Hannah Montana: The Movie,Walt Disney Pictures
Ender's Game, Odd Lot Entertainment
Constantine, Branded Entertainment/Batfilm Productions
21 Jump Street, Relativity Media
The Score, Mandalay Pictures
Edge of Tomorrow,Village Roadshow Pictures
The Wedding Date, 26 Films
Ninja Assassin, Dark Castle Entertainment
Mean Girls,Paramount Pictures
Snitch, Spitfire Pictures
Master and Commander: The Far Side of the World, Samuel Goldwyn Films
August: Osage County,Jean Doumanian Productions
The Darkest Hour,Summit Entertainment
Frida, Ventanarosa Productions
Paranormal Activity 3, Blumhouse Productions
Traffic,USA Films
Miracle,Walt Disney
Shrek, DreamWorks Animation
Ocean's Twelve,Village Roadshow Pictures
I Am Number Four, Touchstone Pictures
Juno, Mandate Pictures
Underworld: Awakening, UW4 Productions
Intolerable Cruelty, Mike Zoss Productions
Now You See Me, See Me Louisiana
The Kite Runner,DreamWorks SKG
Scooby-Doo, Warner Bros.
The Lord of the Rings: The Two Towers, The Saul Zaentz Company
Derailed, Patalex V Productions Limited
Couples Retreat,Universal Pictures
Solomon Kane, Wandering Star Pictures
Running Scared,International Production Company
White House Down,Columbia Pictures
Mud,FilmNation Entertainment
Man of Steel, Warner Bros.
Gamer,Lakeshore Entertainment
Unbroken, Jolie Pas
Finding Nemo,Walt Disney Pictures
The Water Horse, Walden Media
The Good Dinosaur,Walt Disney Pictures
Babel, Central Films
The Proposal, Kurtzman/Orci
Furious 7, Dentsu
The Queen, Granada Film Productions
The Interview,Columbia TriStar
Corpse Bride,Tim Burton Animation Company
The Bourne Ultimatum, The Kennedy/Marshall Company
No Strings Attached, Spyglass Entertainment
The Five-Year Engagement, Stoller Global Solutions
The Adventures of Tintin, WingNut Films
Source Code,The Mark Gordon Company
The Wolf of Wall Street,Paramount Pictures
The Woman in Black, Alliance Films
Night at the Museum, 21 Laps Entertainment
Krampus,Universal Pictures
Ladder 49, Beacon Pictures
The Big Year, Dune Entertainment
The Other Woman, LBI Productions
The Terminal, Parkes/MacDonald Productions
In the Valley of Elah, NALA Films
The Big Year, Fox 2000 Pictures
National Treasure: Book of Secrets,Jerry Bruckheimer Films
That's My Boy,Columbia Pictures
Chronicle, Davis Entertainment
I Think I Love My Wife,Fox Searchlight Pictures
The Guest,HanWay Films
Mission: Impossible - Rogue Nation, TC Productions
Mirrors, Castel Film Romania
Click,Original Film
We Are Marshall, Warner Bros.
Funny People, Apatow Productions
Wanted, Spyglass Entertainment
The Aviator, Initial Entertainment Group (IEG)
American Dreamz,Universal Pictures
Harold & Kumar Escape from Guantanamo Bay,New Line Cinema
The Woman in Black, Film i VÃ¤st
Flight of the Phoenix, Aldrich Group
After Earth, Blinding Edge Pictures
The Golden Compass,New Line Cinema
Transformers: Age of Extinction, Amblin Entertainment
Agent Cody Banks, Metro-Goldwyn-Mayer (MGM)
Into the Woods,Walt Disney Pictures
The Tree of Life,Fox Searchlight
Real Steel, Reliance Entertainment
Return to Never Land, Walt Disney Animation Australia
The Hoax, The Mark Gordon Company
Kingsman: The Secret Service, TSG Entertainment
Jack the Giant Slayer, Big Kid Pictures
Evil Dead, Ghost House Pictures
Hardcore Henry,Bazelevs Production
Panic Room, Indelible Productions
Dirty Dancing: Havana Nights, Havana Nights LLC
The Brothers Grimm,The Weinstein Company
Iron Man 2,Marvel Studios
All About Steve, Fortis Films
Unfaithful, Epsilon Motion Pictures
S.W.A.T., Chris Lee Productions
Stranger Than Fiction,Mandate Pictures
The Hangover Part III,Legendary Pictures
The Way Back,Polish Film Institute
The Reaping, Chime Films
Something Borrowed, 2S Films
My Sister's Keeper, Gran Via Productions
127 Hours, Warner Bros.
Machete, Troublemaker Studios
Swing Vote,Touchstone Pictures
Ghost Ship, NPV Entertainment
Monkeybone, 1492 Pictures
Ghost Rider: Spirit of Vengeance, Marvel Entertainment
Syriana,Section Eight
Justin Bieber: Never Say Never,Insurge Pictures
Monte Carlo, Dune Entertainment III
Whatever It Takes,Columbia Pictures Corporation
Mirrors, New Regency Pictures
Jeepers Creepers 2, Myriad Pictures
Speed Racer, Anarchos Productions
Seeking Justice, Fierce Entertainment
Taken, Canal+
Happy Feet, Warner Bros.
Spider-Man,Columbia Pictures
Robin Hood, Universal Pictures
The Purge: Anarchy, Why Not Productions
The Butterfly Effect, Katalyst Films
Two for the Money, Morgan Creek Productions
Flushed Away, DreamWorks Animation
Max, Metro-Goldwyn-Mayer (MGM)
Outlander, Outlander Productions
Don't Say a Word, Kopelson Entertainment
Zoolander,Paramount Pictures
Sunshine, UK Film Council
2 Fast 2 Furious, Original Film
The King's Speech, Aegis Film Fund
Happy Feet,Village Roadshow Pictures
The SpongeBob Movie: Sponge Out of Water, United Plankton Pictures
Blue Crush,Imagine Entertainment
U-571, Dino De Laurentiis Company
Mad Max: Fury Road,Village Roadshow Pictures
Puss in Boots,DreamWorks
Dear John,Screen Gems
Jem and the Holograms, Hasbro Studios
Transporter 2, Current Entertainment
Titan A.E.,Twentieth Century Fox Film Corporation
Gone In Sixty Seconds, Touchstone Pictures
Akeelah and the Bee, Out of the Blue... Entertainment
Deux frÃ¨res, Two Brothers Productions
Grindhouse,Big Talk Productions
Next, Revolution Studios
This Must Be the Place, Lucky Red
Sex and the City, Darren Star Productions
Aloha, Regency Enterprises
Once Upon a Time in Mexico, Dimension Films
Carnage,Wild Bunch
Eragon, Fox 2000 Pictures
Enchanted, Andalasia Productions
An Unfinished Life, Persistent Entertainment
Munich, Peninsula Films
Taken 2, Canal+
The Expendables 3,Davis-Films
Traffic, Bedford Falls Company
Predestination,Screen Australia
The Wolf of Wall Street, EMJAG Productions
Watchmen, Warner Bros.
Wild Target, CinemaNX
Hope Springs,Columbia Pictures
Mirror Mirror, Goldmann Pictures
American Outlaws, Morgan Creek Productions
Rush Hour 2,New Line Cinema
28 Weeks Later, Figment Films
Dumb and Dumberer: When Harry Met Lloyd,New Line Cinema
Hop,Universal Pictures
Hanging Up, Global Entertainment Productions GmbH & Company Medien KG
The Invasion, Warner Bros.
A Walk Among the Tombstones, Exclusive Media Group
Chronicle, Adam Schroeder Productions
Burnt,Double Feature Films
Sunshine, Moving Picture Company (MPC)
EuroTrip, The Montecito Picture Company
Prom, Rickshaw Productions
Let's Be Cops, Genre Films
Serendipity, Tapestry Films
Slumdog Millionaire, Film4
In the Land of Women, Anonymous Content
Superhero Movie,Dimension Films
American Psycho, Muse Productions
2 Fast 2 Furious,Mikona Productions GmbH & Co. KG
The East,Scott Free Productions
The Railway Man, Lionsgate
Looney Tunes: Back in Action, Warner Bros.
The Big Short, Regency Enterprises
Down with Love, Fox 2000 Pictures
Daddy Day Care, Revolution Studios
No Good Deed,Sony Pictures
A Knight's Tale, Black and Blu Entertainment
Windtalkers, Metro-Goldwyn-Mayer (MGM)
The Eagle, Film4
X-Men: The Last Stand,20th Century Fox
Divergent,Summit Entertainment
Capote,Sony Pictures Classics
Peter Pan, Revolution Studios
Knight and Day,Tree Line Films
The Smurfs,Columbia Pictures
Ocean's Eleven, Jerry Weintraub Productions
John Wick, MJW Films
The Help, Reliance Entertainment
The Skulls,Universal Pictures
Firewall, Beacon Pictures
Hotel Rwanda, Miracle Pictures
The Proposal, Mandeville Films
Itâ€™s a Boy Girl Thing, Rocket Pictures
The Vow, Screen Gems
Four Christmases, Wild West Picture Show Productions
Exodus: Gods and Kings, Volcano Films
Conviction, Pantheon Entertainment Corporation
The Rover, Screen NSW
Broken Flowers, Five Roses
Leap Year, Spyglass Entertainment
Chicken Little,Walt Disney Pictures
Blade: Trinity, Imaginary Forces
Jackass Presents: Bad Grandpa, Dickhouse Productions
Planes: Fire & Rescue, Prana Animation Studios
Miami Vice, Forward Pass
Hercules,Paramount Pictures
Domino, Domino 17521
12 Years a Slave,Plan B Entertainment
Torque, Warner Bros.
The Last Witch Hunter,Summit Entertainment
The Next Three Days,Lionsgate
Boat Trip, Artisan Entertainment
Jumper, New Regency Pictures
Meet the Robinsons,Walt Disney Pictures
Colombiana, CinÃ©CinÃ©ma
Monster House, Amblin Entertainment
Herbie Fully Loaded, Robert Simonds Productions
Mystic River, Malpaso Productions
Shark Tale,DreamWorks SKG
End of Watch, Crave Films
"Big Mommas: Like Father, Like Son",Twentieth Century Fox Film Corporation
Crank: High Voltage,Lakeshore Entertainment
Mortdecai, Mad Chance
The Princess and the Frog, Walt Disney Animation Studios
The Boy in the Striped Pyjamas, Heyday Films
The Others, Lucky Red
Deception, Dune Entertainment III
Robin Hood, Relativity Media
Firewall, Jon Shestack Productions
The Taking of Pelham 1 2 3, Relativity Media
The Butterfly Effect, Province of British Columbia Production Services Tax Credit
Legally Blonde, Metro-Goldwyn-Mayer (MGM)
A Beautiful Mind, DreamWorks SKG
Gone Girl, Pacific Standard
Man on Fire, Scott Free Productions
Timeline, Donners' Company
The Tourist, Italian Tax Credit
The Dark Knight Rises, Syncopy
Land of the Lost, Relativity Media
Fast Five,Universal Pictures
Smart People, QED International
The Box, Lin Pictures
The Possession,Ghost House Pictures
Miss Congeniality, Warner Bros.
Ghost Ship, Warner Bros.
The Princess Diaries, Bottom of the Ninth Productions
Almost Famous,Columbia Pictures
Saw 3D, Twisted Pictures
Spotlight, Open Road Films
The Chronicles of Narnia: The Voyage of the Dawn Treader,Dune Entertainment
Brave, Pixar Animation Studios
The Adventures of Sharkboy and Lavagirl, Dimension Films
The Good German, Sunset Gower Studios
"As Above, So Below",Legendary Pictures
The Hunted, Alphaville Films
Shrek, Pacific Data Images (PDI)
Snitch, Participant Media
The Descendants,Fox Searchlight Pictures
The Machinist, Castelao Producciones
The Life of David Gale, Intermedia Films
The Village,Scott Rudin Productions
The Five-Year Engagement,Universal Pictures
Batman Begins, Warner Bros.
The Incredible Burt Wonderstone, Benderspink
(500) Days of Summer,Fox Searchlight Pictures
Insurgent, Mandeville Films
Take the Lead,New Line Cinema
The Wedding Date,Universal Pictures
Belle, British Film Institute (BFI)
Repo Men, Relativity Media
Wicker Park,Lakeshore Entertainment
The Illusionist, Bull's Eye Entertainment
Scary Movie,Gold/Miller Productions
Rise of the Planet of the Apes,20th Century Fox
Elf, Guy Walks into a Bar Productions
Untraceable, Screen Gems
Death Race, Impact Pictures
Conan the Barbarian, Nu Image Films
Ghosts of Mars, Storm King Productions
The Hunger Games: Mockingjay - Part 1,Lionsgate
A History of Violence, DC Comics
Tristan & Isolde, World 2000 Entertainment
The Boat That Rocked, Medienproduktion Prometheus Filmgesellschaft
Mandela: Long Walk to Freedom, Origin Pictures
Earth to Echo,Walt Disney Studios Motion Pictures
The Road,2929 Productions
The Curious Case of Benjamin Button, Kennedy/Marshall Company
Rumor Has It..., Section Eight
Sin City, Miramax
X2, Bad Hat Harry Productions
28 Weeks Later, Fox Atomic
Tomcats,Columbia Pictures
Planet of the Apes, Tim Burton Productions
Jackass Number Two,Paramount Pictures
Dylan Dog: Dead of Night,Hyde Park Films
Arbitrage, Green Room Films
North Country, Nick Wechsler Productions
Last Vegas, Good Universe
21 & Over, Mandeville Films
Sugar & Spice,New Line Cinema
Suite FranÃ§aise, Scope Pictures
Contraband, Relativity Media
Hardball,Paramount Pictures
16 Blocks,Donners' Company
The Last Samurai, Warner Bros.
Crazy/Beautiful, Ufland
Clockstoppers,Paramount Pictures
Whiteout,StudioCanal
Birdman,Worldview Entertainment
"I, Frankenstein", Hopscotch Films
Notes on a Scandal, DNA Films
Ricki and the Flash, Clinica Estetico
Step Brothers, Gary Sanchez Productions
Crash, Yari Film Group
Extract,Miramax Films
Blood Diamond, Warner Bros.
Becoming Jane,Ecosse Films
Calendar Girls,Harbour Pictures
Ride Along, Rainforest Films
Earth to Echo, Panay Films
The Croods,DreamWorks Animation
Mandela: Long Walk to Freedom, Film Afrika Worldwide
Action Replayy, Hari Om Entertainment Co.
The Grand Budapest Hotel, Studio Babelsberg
Astro Boy,The Weinstein Company
Killer Elite, Omnilab Media
Pathfinder, Major Studio Partners
Valkyrie, Achte Babelsberg Film
Eastern Promises, Scion Films
All Is Lost, Washington Square Films
Prince of Persia: The Sands of Time, Jerry Bruckheimer Films
Date Movie, Epsilon Motion Pictures
Watchmen,Paramount Pictures
Made of Honor, Original Film
Transporter 3, TF1 Films Production
Kingdom of Heaven, Dune Films
Cars, Pixar Animation Studios
Nanny McPhee,Universal Pictures
The Chronicles of Riddick,Universal Pictures
Resident Evil, Davis-Films
Percy Jackson: Sea of Monsters, Dune Entertainment
Aliens in the Attic, Josephson Entertainment
Red Eye, BenderSpink
Made of Honor,Columbia Pictures
The Fifth Estate, Reliance Entertainment
The Perfect Game,HighRoad Entertainment
Battleship, Hasbro
Club Dread, Broken Lizard Industries
Barney's Version,Serendipity Point Films
Seeking Justice, Maguire Entertainment
Wild Target, Isle of Man Film
Save the Last Dance,MTV Films
Love Happens, Scion Films
Garfield,Twentieth Century Fox Film Corporation
Gone Girl, New Regency Pictures
Annabelle, Evergreen Media Group
X-Men: First Class, Twentieth Century Fox Film Corporation
The SpongeBob SquarePants Movie,Paramount Pictures
