Subtitle,Account Name,Membership Category,Membership Level,Website
Suppliers and Manufacturers,"Tianjin Tianfang Investment Holding Co.,Ltd",4,2.0,
Suppliers and Manufacturers,DBL Group,4,2.0,
Suppliers and Manufacturers,IFC,Financial Institutions,0.0,www.ifc.org
Suppliers and Manufacturers,"Nangtong Doublegreat Textile Co.,Ltd",4,2.0,www.ntshtex.com
Suppliers and Manufacturers,Mafatlal Industries Ltd,7,2.0,
Suppliers and Manufacturers,JPP Mills Pvt Ltd,7,2.0,www.jppmills.com
Suppliers and Manufacturers,"Kuang-You Enterprise Co.,Ltd",7,2.0,
Suppliers and Manufacturers,M M Yarns Pvt Ltd,7,2.0,
Civil Society,Action For Food Production (AFPRO),1,0.0,www.afpro.org
Suppliers and Manufacturers,Panther Textile Holding Co. Ltd. (Tat Fung Textile Co.),4,2.0,
Suppliers and Manufacturers,Sadaqat Ltd.,6,3.0,
Retailers and Brands,MQ Retail AB,3,0.0,www.mq.se
Suppliers and Manufacturers,"Shandong Huajie Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Qilu Hongye Textile Group Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Sri Jayakrishna Textiles,7,2.0,
Suppliers and Manufacturers,Shree Siddhivinayak Cotspin Pvt Ltd,7,2.0,www.sscotspin.com
Suppliers and Manufacturers,S V Group,7,2.0,
Suppliers and Manufacturers,"Changzhou Mao qi textile co., LTD",7,2.0,
Suppliers and Manufacturers,Maksons Spinning Mills Ltd.,7,2.0,
Suppliers and Manufacturers,"Hebei  Like  Textile  Co.,Ltd",7,2.0,
Suppliers and Manufacturers,"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Rana Polycot Ltd,7,2.0,
Civil Society,Reviving Green Revolution (RGR) Cell,1,0.0,www.rgrcell.org
Suppliers and Manufacturers,AB Cotspin India Ltd,4,2.0,
Suppliers and Manufacturers,Mercury Fabrics Pvt. Ltd.,6,3.0,
Suppliers and Manufacturers,Sri Velayudhaswamy Spinning Mills Pvt Ltd.,7,2.0,
Suppliers and Manufacturers,Jiangsu Yueda Cotton Spinning Co. Ltd,4,2.0,
Suppliers and Manufacturers,Eurotessile Spa,4,2.0,
Suppliers and Manufacturers,Glossy Impex Pvt Ltd,12,2.0,www.glossy.in
Retailers and Brands,Bjorn Borg Clothing AB,3,0.0,www.bjornborg.com
Suppliers and Manufacturers,Cedro Textil,7,2.0,
Suppliers and Manufacturers,"Ningbo win-win Melange Yarn Co.,Ltd",7,2.0,
Suppliers and Manufacturers,"Wuxi YGM Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Pak Kuwait Textiles Limited,7,2.0,
Suppliers and Manufacturers,Pride Manufacturing de R.L.,4,2.0,www.grupokarimsyarn.com
Suppliers and Manufacturers,Ozone PB Spintex Ltd,7,2.0,
Suppliers and Manufacturers,"Shandong Zhide Textile Company.,Ltd",4,2.0,
Retailers and Brands,Tom Tailor GmbH,3,0.0,www.tom-tailor.com
Producer Organisation,Guoxin Rural Technical Service Association,2,0.0,www.guoxin.org.cn
Suppliers and Manufacturers,"Ningbo Shenzhou Knitting Co.,Ltd",5,2.0,
Suppliers and Manufacturers,His Tekstil Sanayi ve Ticaret Ltd Sti,7,2.0,www.histekstil.com.tr
Suppliers and Manufacturers,Karteks Tekstil San. Ve Tic. A.S.,4,2.0,www.karteks.com.tr
Suppliers and Manufacturers,Aarti International Ltd.,7,2.0,
Suppliers and Manufacturers,Bannari Amman Spinning Mills Ltd.,7,2.0,
Retailers and Brands,Burberry Ltd,3,0.0,www.uk.burberry.com
Suppliers and Manufacturers,Jolly Enterprise,12,2.0,
Civil Society,Lok Sanjh Foundation,1,0.0,www.loksanjh.org
Suppliers and Manufacturers,Ayka Textile,4,2.0,
Suppliers and Manufacturers,Ring Shine Textiles Ltd.,6,3.0,
Suppliers and Manufacturers,Sri Jayajothi & Co Ltd,7,2.0,
Suppliers and Manufacturers,Ashima Group,4,2.0,
Suppliers and Manufacturers,Sangeeth Textiles Pvt Ltd,7,2.0,
Suppliers and Manufacturers,Shanghai Lianfeng Textile & Garment Co. Ltd.,4,2.0,
Retailers and Brands,C&A AG,3,0.0,www.c-and-a.com
Suppliers and Manufacturers,Socota Textile and Clothing Division,6,3.0,
Suppliers and Manufacturers,C.A. Textile Mills (Pvt) Ltd,7,2.0,
Suppliers and Manufacturers,"Saigon Joubo Textile Co., Ltd.",4,2.0,
Suppliers and Manufacturers,"Jiangsu Sunshine Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Zibo Yinshilai Textile Co. Ltd.,9,2.0,
Suppliers and Manufacturers,The Lakshmi Mills Company Ltd,7,2.0,www.lakshmimills.com
Suppliers and Manufacturers,Topkapi Iplik San. ve Tic. A.S.,7,2.0,
Suppliers and Manufacturers,Zhong Xiang Waisun Textiles Company Limited,7,2.0,
Suppliers and Manufacturers,Bezsan Tekstil San. Ve Tic. A.S,4,2.0,www.bezsan.com
Suppliers and Manufacturers,"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",7,2.0,
Suppliers and Manufacturers,GTN Group of Companies,4,2.0,
Suppliers and Manufacturers,Sapphire Group,4,2.0,
Suppliers and Manufacturers,Biteks Iplik Sanayi ve Ticaret A.S,7,2.0,
Suppliers and Manufacturers,Yuyue Home Textile Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Gaotang Hongtai Textile Limited Company,7,2.0,
Producer Organisation,Pakistan Rural Workers Social Welfare Organisation (PRWSWO),2,0.0,www.prwswo.org
Suppliers and Manufacturers,Zhejiang Saintyear Textile Co. Ltd.,6,3.0,
Retailers and Brands,"Kathmandu (together Kathmandu Ltd., Kathmandu Pty Limited, Kathmandu (U.K.) Limited)",3,0.0,www.kathmandu.co.nz
Suppliers and Manufacturers,Yiwu Hengsheng Textile Co. Ltd,7,2.0,
Retailers and Brands,PUMA SE,3,0.0,www.puma.com
Suppliers and Manufacturers,Rauf Textile & Printing Mills Pvt Ltd,9,2.0,
Retailers and Brands,OVS Spa,3,0.0,www.ovscorporate.it
Associate Members,All Pakistan Textile Mills Association (APTMA),0,0.0,www.aptma.org.pk
Suppliers and Manufacturers,Jiangsu Sifang Textile Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Milan Ginning Pressing Pvt. Ltd.,12,2.0,
Suppliers and Manufacturers,Green House Ltd,7,2.0,
Associate Members,Textile Exchange,0,0.0,www.textileexchange.org
Suppliers and Manufacturers,"Tai Yuen Textile Co.,Ltd",4,2.0,
Suppliers and Manufacturers,Santista Work Solution S.A.,4,2.0,
Suppliers and Manufacturers,Hamid Fabrics Ltd.,9,3.0,
Suppliers and Manufacturers,"Sichuan Tian Yi Textiles Co.,Ltd",7,2.0,
Suppliers and Manufacturers,Mayfair Ltd.,7,2.0,
Suppliers and Manufacturers,Yuli County Cotton & Linen Company,12,2.0,
Suppliers and Manufacturers,Abanti Colour Tex Ltd,9,3.0,
Suppliers and Manufacturers,"Gildan Yarns, LLC",7,2.0,
Suppliers and Manufacturers,Yancheng Risheng Textile Logistics Co.Ltd,7,2.0,
Suppliers and Manufacturers,Al-Muqeet Textiles (Private) Limited,7,2.0,
Suppliers and Manufacturers,Manufacturas Kaltex SA de CV,4,2.0,
Suppliers and Manufacturers,Sanko Tekstil,4,2.0,
Suppliers and Manufacturers,"Sunvim Group Co., Ltd  No. 2 Towel Company",9,2.0,
Suppliers and Manufacturers,Atesa Tekstil Insaat Tarim Gida San. Tic. A.S.,7,2.0,
Suppliers and Manufacturers,"Yixing Jin Yu Textile Co., Ltd",,2.0,www.qfc.cn/company/d408466/
Civil Society,Gramin Samassya Mukti Trust,1,0.0,www.gsmt-yavatmal.org
Suppliers and Manufacturers,"Taicang Litai Textile Mill Co.,Ltd",4,2.0,
Suppliers and Manufacturers,"Changyi Huachen Yuesheng Textile Co.,Ltd",7,2.0,
Suppliers and Manufacturers,GTN Industries/GTN Engineering (India) Ltd.,4,2.0,
Suppliers and Manufacturers,Botas Nehir Boya Emprime San. Tic. A.S.,7,3.0,
Suppliers and Manufacturers,Comfort Group,4,2.0,
Associate Members,Cotton SA,0,0.0,www.cottonsa.org.za
Suppliers and Manufacturers,Shao Guan Shun Chang Weaving Factory Ltd,6,2.0,
Retailers and Brands,Federation of Migros Cooperatives,3,0.0,www.migros.ch
Suppliers and Manufacturers,Shandong Daiyin Textile Group Share Co. Ltd.,4,2.0,
Suppliers and Manufacturers,Orteks Tekstil Urunleri San. ve Tic. A.S.,7,2.0,
Suppliers and Manufacturers,Sinha Spinning Group,7,2.0,
Civil Society,Farmer Association For Rural Management (FARM),1,0.0,www.farmgujarat.com
Suppliers and Manufacturers,Elkins Tradelink Ltd.,12,2.0,
Suppliers and Manufacturers,Huafu Top Dyed Melange Yarn Co. Ltd.,7,2.0,
Suppliers and Manufacturers,"Kashion Industry Co., Ltd",9,2.0,
Suppliers and Manufacturers,Jiangsu Jin Xia Textile Co. Ltd,7,2.0,
Suppliers and Manufacturers,Ambika Cotton Mills Ltd,7,2.0,
Suppliers and Manufacturers,Wuxi Shilead Dyeing Co. Ltd.,7,2.0,
Suppliers and Manufacturers,RMT Textile Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Morarjee Textiles Limited,7,2.0,
Suppliers and Manufacturers,PT Primayudha Mandirijaya,7,2.0,
Suppliers and Manufacturers,Bossa,4,2.0,
Suppliers and Manufacturers,Hebei  Hongrun  New  Type  Material Co.Ltd,,2.0,www.ch-run.cn
Suppliers and Manufacturers,"Shandong Ruyi Technology Group Co., Ltd",4,2.0,
Retailers and Brands,John Lewis,3,0.0,www.johnlewis.com
Suppliers and Manufacturers,Sagar Manufacturers Pvt Ltd,7,2.0,www.sagarmanufacturers.com
Retailers and Brands,Marimekko Corporation,3,0.0,company.marimekko.fi
Suppliers and Manufacturers,"Jing Chain Textile Shu Yang Co.,Ltd",7,2.0,
Suppliers and Manufacturers,K. T. Spinning Mills Pvt Ltd,7,2.0,
Suppliers and Manufacturers,CMT Spinning Mills Ltd.,7,2.0,
Suppliers and Manufacturers,Thiagarajar Mills Pvt. Ltd.,7,2.0,
Suppliers and Manufacturers,Mohan Spintex India Ltd,4,2.0,www.mohanspintex.com
Suppliers and Manufacturers,Uz Pamuk Tic. ve Tekstil San. A.S.,4,2.0,
Suppliers and Manufacturers,Shandong Pingyang Textile Co. Ltd.,7,2.0,
Suppliers and Manufacturers,NSL Textile Ltd.,4,2.0,
