Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/2/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/3/20,4/30/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,5/1/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/2/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/3/20,5/30/20,5/31/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,6/1/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/2/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/3/20,6/30/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,7/1/20,7/10/20,7/11/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20
Finland,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,6,40,59,59,155,225,244,277,321,336,400,6,450,523,626,700,792,880,958,1041,1167,1240,6,1352,1418,6,12,15,15,23,30,1446,2769,2905,2974,3064,3161,3237,3369,3489,3681,3783,1518,3868,4014,4129,4284,4395,4475,4576,4695,4740,4906,1615,4995,1882,1927,2176,2308,2487,2605,5051,5962,5984,6003,6054,6145,6228,6286,6347,6380,6399,5176,6443,6493,6537,6568,6579,6599,6628,6692,6743,6776,5254,6826,6859,5327,5412,5573,5673,5738,5880,6885,7040,7064,7073,7087,7104,7108,7112,7117,7119,7133,6887,7142,7143,7144,7155,7167,7172,7191,7198,7198,7209,6911,7214,6911,6941,6964,6981,7001,7025,7236,7279,7291,7241,7242,7248,7253,7257,7262,7265,7273
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,7,11,11,11,11,0,15,18,18,20,23,28,28,28,28,28,0,43,43,0,0,0,5,5,5,51,83,83,86,86,86,86,86,96,96,96,51,97,97,97,107,111,111,111,111,125,125,57,126,61,61,72,72,77,83,128,144,144,144,153,164,189,197,197,210,218,128,237,249,261,279,328,353,384,406,436,450,128,477,499,133,133,138,138,141,141,499,865,917,1043,1161,1255,1326,1421,1554,1758,1969,517,2163,2441,2458,2593,2827,3033,3270,3461,3461,3774,533,4004,556,589,639,689,729,773,4268,5704,5949,4444,4558,4913,4913,5054,5178,5459,5558
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,3,4,5,5,6,6,7,7,7,7,0,7,16,0,0,0,0,0,0,18,44,46,49,57,57,80,80,108,108,109,21,120,156,166,167,172,176,176,211,238,276,21,276,21,21,24,30,34,44,276,661,802,863,1004,1104,1209,1320,1320,1432,1502,335,1567,1567,1728,1934,1934,2135,2238,2319,2431,2613,335,2655,2655,367,397,397,504,620,661,2655,3375,3463,3463,3463,3463,4033,4114,4229,4340,4428,2803,4428,4428,4739,4849,4956,5087,5209,5209,5209,5394,2902,5394,2955,3101,3101,3101,3101,3247,5513,5942,5942,5513,5620,5620,5620,5743,5743,5871,5871
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,3,3,3,3,3,4,0,4,4,0,0,0,0,0,0,4,4,9,9,9,9,9,9,9,9,10,4,10,10,10,10,10,10,10,10,10,10,4,11,4,4,4,4,4,4,12,20,22,22,23,23,23,23,23,24,24,17,24,24,25,25,25,25,25,25,25,25,17,25,25,17,17,17,18,20,20,25,28,28,28,28,28,30,34,34,36,36,25,37,37,41,42,42,43,43,44,45,47,26,49,26,26,26,26,28,28,49,64,64,55,55,57,57,61,61,61,63
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,15,24,24,25,30,33,33,34,38,40,3,43,49,54,61,70,75,79,83,90,91,3,103,110,3,4,4,4,13,15,117,234,242,257,272,300,306,348,370,388,394,134,402,408,416,425,444,456,486,497,511,517,155,539,162,174,188,196,211,218,566,635,638,642,647,667,671,683,695,701,707,582,713,721,723,728,730,731,732,735,738,746,589,757,783,593,604,610,615,623,626,794,827,831,843,851,864,879,879,888,893,896,796,898,906,908,911,914,917,919,921,924,926,800,928,801,805,808,809,812,818,931,973,981,939,943,948,951,953,958,963,968
Germany,0,0,0,0,0,1,4,4,4,5,8,14,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,17,27,46,48,79,12,12,12,12,13,13,14,130,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,159,19848,22213,24873,29056,32986,37323,43938,50871,57695,62095,196,66885,71808,262,482,670,799,1040,1176,77872,122171,124908,127854,130072,131359,134753,137698,141397,143342,145184,84794,147065,148291,150648,153129,154999,156513,157770,158758,159912,161539,91159,163009,96092,100123,103374,107663,113296,118181,164077,171879,172576,173171,174098,174478,175233,175752,176369,176551,177778,164967,178473,179021,179710,179986,180328,180600,181200,181524,182196,182922,165664,183189,183410,166152,167007,168162,169430,170588,171324,183594,186522,186691,187226,187267,187518,187682,188252,188604,189817,190299,183879,190670,191272,191768,192480,192871,193371,194036,194458,194693,195042,184121,195418,184472,184924,185450,185750,186109,186506,195893,199332,199709,196370,196780,197198,197523,198064,198343,198699,199001
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,11,0,16,19,23,27,53,93,132,137,141,152,0,152,161,0,0,0,0,0,0,195,378,408,566,566,636,636,641,641,834,1042,204,1042,1042,1154,1154,1279,1279,1550,1550,1671,1671,205,2074,205,214,214,287,313,378,2074,4263,4700,5127,5408,5530,5638,5735,5735,5735,6096,2169,6269,6269,6486,6617,6683,6808,7117,7303,7303,7616,2169,7768,8070,2719,2719,3091,3091,4012,4263,8070,10201,10358,10856,11118,11964,11964,12193,12590,12929,13203,8297,13717,14154,14154,14568,15013,15473,15834,16431,16742,17351,8548,17741,8885,9168,9462,9638,9910,10201,18134,23834,24248,18134,19388,19388,20085,21077,21968,22822,23463
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,0,0,7,89,99,99,190,228,331,331,387,418,418,7,495,530,624,695,743,821,892,966,1061,1156,7,1212,1314,9,31,45,46,73,73,1415,2011,2081,2114,2145,2170,2192,2207,2224,2235,2235,1544,2245,2401,2408,2463,2490,2506,2517,2534,2566,2576,1613,2591,1673,1735,1755,1832,1884,1955,2612,2716,2726,2744,2760,2770,2810,2819,2834,2836,2840,2620,2850,2853,2874,2876,2878,2882,2892,2903,2906,2909,2626,2915,2917,2632,2642,2663,2678,2691,2710,2918,3068,3088,3108,3112,3121,3134,3148,3203,3227,3237,2937,3256,3266,3287,3302,3310,3321,3343,3366,3376,3390,2937,3409,2952,2967,2980,2997,3049,3058,3432,3732,3772,3458,3486,3511,3519,3562,3589,3622,3672
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,7,9,0,9,9,0,0,0,0,0,0,9,14,14,14,14,14,14,14,14,14,14,10,14,14,15,15,15,18,18,18,19,20,12,20,12,12,12,12,12,12,20,21,21,21,21,21,22,22,22,22,22,21,22,22,22,22,22,23,23,23,23,23,21,23,23,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,6,9,0,12,17,19,20,21,24,25,28,34,34,0,36,38,0,0,0,0,0,0,39,126,137,155,156,167,180,196,214,235,257,47,289,294,316,384,430,473,500,530,530,557,50,599,61,61,70,77,87,95,644,1052,1114,1199,1342,1518,1643,1763,1763,1912,2133,688,2265,2512,2743,3054,3424,3760,3954,4145,4348,4607,703,4739,5087,730,763,798,832,900,967,5336,8221,8561,8982,9491,9845,10272,10706,11251,11868,12509,5586,12755,13145,13769,14540,14819,15619,15828,16397,16930,17409,5760,18096,6154,6485,6792,7055,7502,7866,19011,27619,28598,20072,21293,22501,23248,23972,24787,25411,26658
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,2,2,4,4,4,4,8,8,16,0,22,22,0,0,0,0,0,0,30,212,250,250,319,363,404,438,477,518,579,52,622,688,761,862,954,996,996,1163,1240,1351,73,1495,111,121,128,144,164,194,1537,2146,2146,2298,2374,2473,2473,2658,2658,2796,2863,1586,2863,3067,3067,3176,3275,3275,3275,3275,3553,3656,1586,3706,3706,1710,1811,1856,1927,2009,2042,3844,4258,4372,4426,4484,4532,4572,4639,4668,4841,4904,3886,4960,4988,4988,5040,5174,5174,5260,5291,5342,5351,3933,5391,3991,4060,4117,4117,4216,4258,5404,5969,6044,5450,5521,5570,5610,5610,5636,5697,5881
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,8,8,0,0,0,0,0,0,9,36,38,38,38,38,43,43,43,46,50,9,50,50,50,50,52,52,53,73,73,205,15,205,18,18,18,33,33,36,257,726,761,820,836,913,913,969,990,1032,1038,257,1089,1109,1114,1114,1114,1178,1178,1195,1195,1256,257,1256,1256,413,413,475,564,594,641,1339,1389,1389,1460,1460,1460,1492,1492,1492,1492,1541,1339,1541,1541,1556,1556,1556,1556,1614,1614,1614,1654,1339,1654,1339,1368,1368,1368,1389,1389,1654,1842,1842,1654,1765,1765,1765,1790,1790,1790,1790
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,7,7,7,0,7,7,19,20,5,5,5,5,8,8,0,8,12,0,0,0,0,0,0,19,37,45,45,45,47,55,55,63,63,65,19,65,66,67,70,73,73,74,74,74,78,23,82,23,24,31,33,37,37,82,104,109,113,113,113,116,117,117,124,125,82,125,127,127,127,135,137,139,139,150,150,82,152,153,92,93,93,93,94,94,153,156,158,159,159,159,159,171,171,183,183,153,183,184,205,206,209,215,215,230,230,235,153,245,153,153,154,154,154,156,248,290,291,250,256,272,273,273,284,284,286
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,8,8,8,8,15,0,15,15,0,0,0,0,0,0,16,31,33,33,40,40,41,41,43,44,47,16,57,57,62,72,72,72,74,76,76,76,18,81,20,21,24,25,27,30,85,182,209,209,234,273,310,358,456,533,533,85,596,734,812,865,865,958,1174,1320,1320,1584,88,1865,2124,100,101,101,129,146,151,2226,3796,3941,3941,4165,4165,4441,4547,4688,4916,4980,2226,5077,5077,5211,5324,5429,5543,5722,5777,5777,5933,2507,5975,2640,2740,3072,3334,3538,3662,6040,6617,6690,6101,6230,6294,6333,6371,6432,6486,6486
Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,4,4,4,6,6,0,6,6,0,0,1,1,1,1,6,8,8,8,8,8,8,8,8,8,8,7,9,9,9,9,9,9,9,9,10,10,7,11,7,7,7,7,8,8,11,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,11,12,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,6,8,9,12,0,24,24,26,30,30,36,52,68,95,110,0,139,141,0,0,0,0,0,0,172,382,392,393,397,407,419,426,442,457,472,219,477,494,510,519,591,627,627,661,702,738,222,771,264,268,298,305,312,343,804,1972,2100,2080,2255,2318,2460,2565,2646,2798,2955,1010,2955,3204,3477,3477,3950,4189,4401,4640,4752,4752,1055,5094,5202,1178,1270,1461,1685,1771,1830,5362,7360,7669,8132,8455,8858,9178,9656,10299,10739,11258,5527,12306,12769,13356,13943,14571,15366,15994,17007,18082,18818,5690,19558,5880,5971,6155,6327,6450,6935,20262,27053,27583,21120,22116,22921,23943,24665,25428,25978,26384
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,19,30,32,39,50,58,73,0,85,103,131,167,187,226,261,300,343,408,0,447,492,2,2,2,4,7,9,525,1190,1310,1410,1458,1512,1579,1652,1763,1834,1916,585,1984,2098,2168,2284,2443,2443,2500,2583,2649,2727,623,2775,678,733,744,817,895,980,2863,3263,3284,3313,3341,3380,3417,3473,3509,3535,3556,2942,3598,3641,3678,3713,3741,3756,3771,3793,3816,3841,2998,3867,3876,3035,3065,3111,3150,3178,3213,3892,4027,4039,4053,4064,4069,4076,4077,4078,4079,4081,3921,4086,4094,4102,4107,4114,4123,4127,4138,4142,4145,3931,4155,3954,3970,3990,4008,4014,4017,4157,4223,4229,4166,4172,4174,4183,4189,4205,4210,4220
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,69,85,103,134,156,171,180,220,250,330,6,409,473,568,588,648,737,802,890,963,1020,11,1086,1135,26,34,43,50,50,58,1220,1675,1689,1701,1711,1720,1727,1739,1754,1760,1771,1319,1773,1778,1785,1789,1789,1790,1792,1792,1795,1797,1364,1797,1417,1486,1562,1586,1616,1648,1798,1801,1801,1801,1802,1802,1802,1802,1802,1802,1802,1798,1803,1803,1803,1804,1804,1804,1804,1805,1805,1805,1799,1806,1806,1799,1799,1799,1801,1801,1801,1806,1807,1807,1807,1808,1810,1810,1812,1815,1816,1819,1806,1822,1823,1823,1824,1824,1830,1832,1836,1838,1840,1806,1842,1806,1806,1806,1807,1807,1807,1847,1886,1888,1850,1855,1860,1863,1866,1873,1880,1882
India,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,56,62,73,82,102,113,119,142,156,194,5,244,330,396,499,536,657,727,887,987,1024,5,1251,1397,28,30,31,34,39,43,1998,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,2543,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,2567,34863,3082,3588,4778,5311,5916,6725,37257,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,39699,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,42505,181827,190609,46437,49400,52987,56351,59695,62808,198370,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,207191,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,216824,585481,226713,236184,246622,257486,265928,276146,604641,820916,849522,625544,648315,673165,697413,719664,742417,767296,793802
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,34,69,96,117,134,172,227,311,2,369,450,514,579,686,790,893,1046,1155,1285,2,1414,1528,2,2,4,4,6,19,1677,3512,3842,4241,4557,4839,5136,5516,5923,6248,6575,1790,6760,7135,7418,7775,8211,8607,8882,9096,9511,9771,1986,10118,2092,2273,2491,2738,2956,3293,10551,14032,14265,14749,15438,16006,16496,17025,17514,18010,18496,10843,19189,20162,20796,21745,22271,22750,23165,23851,24538,25216,11192,25773,26473,11587,12071,12438,12776,13112,13645,26940,34316,35295,36406,37420,38277,39294,40400,41431,42762,43803,27549,45029,45891,46845,47896,49009,50187,51427,52812,54010,55092,28233,56385,28818,29521,30514,31186,32033,33076,57770,72347,74018,59394,60695,62142,63749,64958,66226,68079,70736
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,18,28,43,61,95,139,245,388,593,0,0,0,0,0,0,0,978,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,1501,19644,20610,21638,23049,24811,27017,29406,32332,35408,38309,2336,41495,44605,2922,3513,4747,5823,6566,7161,47593,68192,70029,71686,73303,74877,76389,77995,79494,80868,82211,50468,83505,84802,85996,87026,88194,89328,90481,91472,92584,93657,53183,94640,55743,58226,60500,62589,64586,66220,95646,107603,109286,110767,112725,114533,116635,118392,120198,122492,124603,96448,126949,129341,131652,133521,135701,137724,139511,141591,143849,146668,97424,148950,151466,98647,99970,101650,103135,104691,106220,154445,177938,180156,182525,184955,187427,189876,192439,195051,197647,200262,157562,202584,204952,207525,209970,212501,215096,217724,220180,222669,225205,160696,227662,164270,167156,169425,171789,173832,175927,230211,252720,255117,232863,235429,237878,240438,243051,245688,248379,250458
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,13,0,0,0,0,0,0,0,19,71,71,71,101,110,116,124,154,164,192,26,208,214,233,266,316,346,382,458,506,547,32,630,694,35,35,40,54,60,60,728,1279,1318,1352,1378,1400,1415,1434,1482,1513,1539,772,1574,1602,1631,1677,1708,1763,1820,1847,1928,2003,820,2085,878,961,1031,1122,1202,1232,2153,2767,2818,2913,3032,3143,3193,3260,3404,3554,3611,2219,3724,3877,3964,4272,4469,4632,4848,5135,5457,5873,2296,6179,6439,2346,2431,2480,2543,2603,2679,6868,15414,16675,17770,18950,20209,21315,22700,24254,25717,27352,7387,29222,30868,32676,34502,36702,39139,41193,43262,45402,47151,8168,49109,8840,9846,11098,12366,13481,14268,51524,72460,75194,53708,56020,58354,60479,62275,64701,67442,69612
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34,43,43,90,129,129,169,223,292,557,1,683,785,906,1125,1329,1564,1819,2121,2415,2615,2,2910,3235,6,6,18,18,19,21,3447,8089,8928,9655,10647,11479,12547,13271,13980,14758,15251,3849,15652,16040,16671,17607,18184,18561,19262,19648,19877,20253,4273,20612,4604,4994,5364,5709,6074,6574,20833,22996,23135,23242,23401,23827,23956,24048,24112,24200,24251,21176,24315,24391,24506,24582,24639,24698,24735,24803,24841,24876,21506,24929,24990,21772,21983,22248,22385,22541,22760,25062,25231,25238,25250,25295,25303,25321,25334,25341,25355,25368,25066,25374,25379,25383,25391,25396,25405,25414,25437,25439,25462,25111,25473,25142,25163,25183,25201,25207,25215,25477,25589,25611,25489,25498,25509,25527,25531,25538,25542,25565
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,7,0,0,0,0,0,0,0,10,75,79,100,126,155,213,218,250,304,427,10,529,712,883,1071,1238,2369,2693,3035,3619,4247,12,4695,5358,15,20,37,43,61,61,6092,10408,10743,11145,11586,12046,12501,12758,12982,13265,13491,6857,13713,13942,14498,14803,15058,15298,15443,15555,15728,15834,7428,15946,7851,8430,8904,9248,9404,9968,16101,16477,16506,16529,16548,16579,16589,16608,16617,16643,16659,16185,16667,16683,16690,16712,16717,16734,16757,16793,16872,16987,16208,17012,17071,16246,16289,16310,16381,16436,16454,17169,18355,18569,18795,18972,19055,19237,19495,19783,20036,20339,17285,20633,20778,21082,21512,22044,22400,22800,23421,23755,24441,17377,25244,17495,17562,17752,17863,18032,18180,26257,36266,37464,27047,28055,29170,29958,30749,32222,33557,34825
Italy,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,3,2,3,20,62,155,229,322,453,655,888,1128,2,2,2,2,3,3,3,1694,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,2036,47021,53578,59138,63927,69176,74386,80589,86498,92472,97689,2502,101739,105792,3089,3858,4636,5883,7375,9172,110574,147577,152271,156363,159516,162488,165155,168941,172434,175925,178972,115242,181228,183957,187327,189973,192994,195351,197675,199414,201505,203591,119827,205463,124632,128948,132547,135586,139422,143626,207428,219070,219814,221216,222104,223096,223885,224760,225435,225886,226699,209328,227364,228006,228658,229327,229858,230158,230555,231139,231732,232248,210717,232664,232997,211938,213013,214457,215858,217185,218268,233197,235763,236142,236305,236651,236989,237290,237500,237828,238159,238011,233515,238275,238499,238720,238833,239410,239706,239961,240136,240310,240436,233836,240578,234013,234531,234801,234998,235278,235561,240760,242639,242827,240961,241184,241419,241611,241819,241956,242149,242363
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,10,10,12,13,15,0,16,16,19,19,21,26,26,26,30,32,0,36,36,0,0,0,0,0,0,44,63,65,69,73,73,125,143,143,163,173,47,223,223,233,257,288,305,350,364,364,396,47,422,53,58,58,63,63,63,432,502,505,507,509,509,511,517,520,520,520,463,529,534,544,550,552,556,564,569,569,575,469,581,586,471,473,478,488,490,490,588,605,611,614,615,617,621,621,626,638,652,590,657,659,665,670,678,684,686,690,696,698,591,702,591,595,596,598,599,605,707,753,758,715,721,728,732,737,745,751,753
Japan,2,2,2,2,4,4,7,7,11,15,20,26,27,28,33,43,54,60,67,79,85,20,95,112,137,149,160,173,192,218,236,245,20,22,23,23,23,24,24,259,585,640,696,733,795,826,843,893,928,968,278,1022,1059,1104,1144,1217,1314,1416,1530,1728,1907,298,2001,2255,333,365,420,466,499,527,2535,6250,6951,7473,7773,8277,8835,9398,9958,10548,10914,2818,11258,11641,12037,12469,12854,13186,13405,13576,13860,14076,3154,14284,3525,3876,4110,4485,5020,5614,14558,15824,15861,15948,15998,16096,16148,16202,16226,16259,16287,14861,16321,16362,16385,16410,16451,16472,16502,16528,16598,16673,15061,16716,16751,15229,15354,15455,15553,15640,15755,16787,17146,17187,17250,17293,17369,17439,17484,17530,17588,17658,16837,17725,17780,17820,17879,17963,18055,18162,18254,18366,18476,16867,18615,16911,16958,17000,17039,17060,17111,18838,21044,21430,19055,19185,19461,19668,19848,20055,20261,20617
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8,17,34,52,69,0,85,85,112,127,154,172,212,235,246,259,1,268,274,1,1,1,1,1,1,278,372,381,389,391,397,401,402,407,413,417,299,425,428,435,437,441,444,447,449,449,451,310,453,323,345,349,353,358,372,459,540,562,576,582,586,596,607,613,629,649,460,672,684,700,704,708,711,718,720,728,730,461,734,739,465,471,473,494,508,522,746,863,890,915,953,961,979,981,987,1001,1008,755,1015,1033,1042,1047,1071,1086,1104,1111,1121,1128,757,1132,765,784,795,808,831,845,1133,1173,1176,1136,1147,1150,1164,1167,1169,1169,1169
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,10,33,35,44,0,49,53,60,62,72,81,111,150,228,284,0,302,343,0,0,0,0,0,0,380,812,865,951,1091,1232,1295,1402,1546,1615,1676,435,1852,1995,2135,2289,2482,2601,2717,2835,3027,3138,464,3402,531,584,662,697,727,781,3597,5090,5207,5279,5417,5571,5689,5850,6157,6751,6751,3857,6969,7234,7919,7919,8531,8969,8969,9304,9576,9932,3920,10382,10858,4049,4205,4422,4578,4834,4975,11308,13319,13872,13872,14238,14496,15192,15542,15877,15877,16779,11571,17225,17732,18231,18765,19285,19750,20319,20319,21327,21819,12067,22308,12067,12312,12511,12694,12859,13074,41065,56455,58253,42574,45719,47171,48574,49683,51059,51059,54747
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,0,7,7,15,16,25,28,31,31,38,42,0,50,59,0,0,0,0,0,0,81,189,191,197,208,216,225,234,246,262,270,110,281,296,303,320,336,343,355,363,374,384,122,396,126,142,158,172,179,184,411,672,700,715,737,758,781,830,887,912,963,435,1029,1109,1161,1192,1214,1286,1348,1471,1618,1745,465,1888,1962,490,535,582,607,621,649,2021,3094,3215,3305,3457,3594,3727,3860,4044,4257,4374,2093,4478,4738,4797,4952,5206,5384,5533,5811,6070,6190,2216,6366,2340,2474,2600,2767,2872,2989,6673,9448,9726,6941,7188,7577,7886,8067,8250,8528,8975
