Subtitle,Institution,Specific Graduate Program,Restrictions,City,State
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,0,,56,35
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,0,,Baton Rouge,42
George Washington University,,School of Medicine and Health Science,,1,2
"University of Colorado, Boulder",,Dance,,114,24
Florida International University,,School of Hospitality and Tourism Management,,52,32
Northeastern University,,D'Amore-McKim School of Business,2,11,7
"University of Phoenix, Boston Campus, Braintree",,0,,Braintree,7
University of New Haven,,M.S. Computer Engineering,,126,38
"Devry University, Morrisville Campus",,25,,Morrisville,31
Tulane University,,School of Public Health and Tropical Medicine,2,108,42
Massachusetts Institute of Technology,,Electrical Engineering and Computer Science,6,85,7
"University of Michigan, Dearborn",,6,,123,4
Columbia University,,Master of Arts Program in Climate and Society,,6,0
College of William and Mary (The),,Master of Accounting,,24,23
Azusa Pacific University,,School of Business & Management,,Azusa,9
Northeastern University,,"College of Arts, Media & Design",,11,7
Syracuse University,,Smith College of Engineering and Computer Science,2,103,0
University of San Francisco,,Office of Graduate Studies,,75,9
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,0,,39,24
University of Dallas,,MS/Master of Business Administration dual degree program,,47,11
Columbia University,,Institute of Human Nutrition,"MS, Human Nutrition",6,0
Loyola Marymount University,,39,,Los Angeles,9
"University of Michigan, Dearborn",,15,,123,4
Vanderbilt University,,2,2,54,18
"Devry University, Palmdale Center",,25,,Palmdale,9
"University of Massachusetts, Amherst",,Isenberg School of Management,,121,7
University of New Haven,,Ph.D. Criminal Justice,,126,38
Northwestern University,,Medill Northwestern University - Graduate Admissions,"School of Journalism, Media, Integrated Marketing Communications",90,27
"Devry University, Downers Grove Center",,25,,Downers Grove,27
Marywood University,,Health Sciences,,84,16
Carnegie Mellon University,,"Tepper School of Business, Master of Business Administration",2,17,16
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,0,,62,9
University of Houston,,62,,7,11
"City University of Seattle, Vancouver, Canada",,23,2,21,20
"University of Phoenix, Northwest Arkansas Campus, Rogers",,0,,134,6
Montclair State University,,18,,Montclair,13
Drew University,,Theological School (except Ph.D.),,70,13
University of Baltimore,,International MS in Applied Psychology,2,79,30
"Pennsylvania State University, Harrisburg",,Master of Professional Studies in Engineering Management,,95,16
