cuisine_style,ranking,rating,reviews_number
unknown,1613.0,4.5,6.0
Bar,800.0,4.5,61.0
 Pub,800.0,4.5,61.0
 Dutch,800.0,4.5,61.0
 European,800.0,4.5,61.0
Indian,849.0,4.0,13.0
 Vegetarian Friendly,849.0,4.0,13.0
unknown,9295.0,4.0,4.0
Healthy,725.0,4.5,7.0
 Soups,725.0,4.5,7.0
 Vegetarian Friendly,725.0,4.5,7.0
Cafe,8564.0,4.0,18.0
 Vegetarian Friendly,8564.0,4.0,18.0
unknown,12657.0,4.0,NaN
Vietnamese,483.0,4.0,146.0
 Chinese,483.0,4.0,146.0
 Asian,483.0,4.0,146.0
 Japanese,483.0,4.0,146.0
 Sushi,483.0,4.0,146.0
 Vegetarian Friendly,483.0,4.0,146.0
Italian,1328.0,4.5,33.0
 Cafe,1328.0,4.5,33.0
 European,1328.0,4.5,33.0
 Wine Bar,1328.0,4.5,33.0
 Vegan Options,1328.0,4.5,33.0
European,541.0,4.0,167.0
 Czech,541.0,4.0,167.0
 Central European,541.0,4.0,167.0
 Vegetarian Friendly,541.0,4.0,167.0
Bar,7006.0,3.0,162.0
 Mediterranean,7006.0,3.0,162.0
 European,7006.0,3.0,162.0
 Spanish,7006.0,3.0,162.0
 Pub,7006.0,3.0,162.0
Thai,4709.0,4.0,64.0
Dutch,1259.0,3.5,339.0
 European,1259.0,3.5,339.0
 Vegetarian Friendly,1259.0,3.5,339.0
Seafood,11879.0,3.0,153.0
 International,11879.0,3.0,153.0
Cafe,5024.0,4.0,58.0
 International,5024.0,4.0,58.0
 Vegetarian Friendly,5024.0,4.0,58.0
 Vegan Options,5024.0,4.0,58.0
 Gluten Free Options,5024.0,4.0,58.0
Dutch,2947.0,3.0,70.0
 Bar,2947.0,3.0,70.0
 European,2947.0,3.0,70.0
 International,2947.0,3.0,70.0
unknown,11144.0,3.5,40.0
German,1375.0,4.0,26.0
 Austrian,1375.0,4.0,26.0
 Bar,1375.0,4.0,26.0
 Pub,1375.0,4.0,26.0
Cafe,2663.0,4.0,26.0
 Diner,2663.0,4.0,26.0
 Vegetarian Friendly,2663.0,4.0,26.0
 Vegan Options,2663.0,4.0,26.0
 Gluten Free Options,2663.0,4.0,26.0
Japanese,823.0,4.5,35.0
Italian,396.0,4.0,130.0
 Mediterranean,396.0,4.0,130.0
 European,396.0,4.0,130.0
 Vegetarian Friendly,396.0,4.0,130.0
unknown,6637.0,5.0,5.0
unknown,2452.0,4.5,2.0
American,682.0,4.0,118.0
 Bar,682.0,4.0,118.0
 Pub,682.0,4.0,118.0
Japanese,6117.0,5.0,7.0
 American,6117.0,5.0,7.0
 Asian,6117.0,5.0,7.0
 Korean,6117.0,5.0,7.0
 British,6117.0,5.0,7.0
Italian,1715.0,4.0,23.0
Bar,6045.0,4.0,44.0
 Pub,6045.0,4.0,44.0
 Pizza,6045.0,4.0,44.0
Italian,5561.0,3.5,4.0
unknown,6788.0,4.0,29.0
Asian,1700.0,4.0,2.0
 Korean,1700.0,4.0,2.0
Pizza,306.0,4.5,3.0
unknown,8790.0,5.0,4.0
unknown,1668.0,4.5,90.0
Bar,487.0,3.5,66.0
 Pub,487.0,3.5,66.0
Pizza,2935.0,3.5,21.0
Italian,405.0,4.5,139.0
 American,405.0,4.5,139.0
unknown,5796.0,3.5,4.0
German,82.0,4.0,4694.0
 Austrian,82.0,4.0,4694.0
 Bar,82.0,4.0,4694.0
 European,82.0,4.0,4694.0
 Central European,82.0,4.0,4694.0
American,12982.0,4.0,49.0
 British,12982.0,4.0,49.0
Asian,888.0,4.0,192.0
 Vietnamese,888.0,4.0,192.0
 Vegetarian Friendly,888.0,4.0,192.0
 Vegan Options,888.0,4.0,192.0
Greek,2214.0,4.0,8.0
Chinese,71.0,4.5,1044.0
 Asian,71.0,4.5,1044.0
 Thai,71.0,4.5,1044.0
 Vietnamese,71.0,4.5,1044.0
 Vegetarian Friendly,71.0,4.5,1044.0
 Vegan Options,71.0,4.5,1044.0
 Gluten Free Options,71.0,4.5,1044.0
Asian,8972.0,3.5,138.0
 Vietnamese,8972.0,3.5,138.0
French,2889.0,2.5,2.0
 Belgian,2889.0,2.5,2.0
 European,2889.0,2.5,2.0
French,9248.0,3.5,49.0
 Italian,9248.0,3.5,49.0
 Pizza,9248.0,3.5,49.0
Delicatessen,3751.0,5.0,2.0
 Healthy,3751.0,5.0,2.0
 Argentinean,3751.0,5.0,2.0
 South American,3751.0,5.0,2.0
Asian,1128.0,4.0,58.0
 Indian,1128.0,4.0,58.0
 Nepali,1128.0,4.0,58.0
 Vegetarian Friendly,1128.0,4.0,58.0
 Vegan Options,1128.0,4.0,58.0
unknown,2647.0,3.0,18.0
European,1523.0,3.5,205.0
 Dutch,1523.0,3.5,205.0
 International,1523.0,3.5,205.0
 Vegetarian Friendly,1523.0,3.5,205.0
Mediterranean,4377.0,4.0,104.0
 Spanish,4377.0,4.0,104.0
Mexican,1950.0,2.0,28.0
Italian,1463.0,4.0,30.0
 Pizza,1463.0,4.0,30.0
 Seafood,1463.0,4.0,30.0
 Vegetarian Friendly,1463.0,4.0,30.0
European,354.0,4.0,203.0
 Wine Bar,354.0,4.0,203.0
 Vegetarian Friendly,354.0,4.0,203.0
Indian,2273.0,4.5,8.0
 Asian,2273.0,4.5,8.0
 Singaporean,2273.0,4.5,8.0
 Nepali,2273.0,4.5,8.0
unknown,7759.0,3.0,34.0
Pizza,1302.0,4.5,50.0
 Argentinean,1302.0,4.5,50.0
 South American,1302.0,4.5,50.0
 Italian,1302.0,4.5,50.0
 Vegetarian Friendly,1302.0,4.5,50.0
Japanese,1254.0,4.0,210.0
 Sushi,1254.0,4.0,210.0
 Asian,1254.0,4.0,210.0
 Vegetarian Friendly,1254.0,4.0,210.0
Peruvian,4081.0,5.0,NaN
 South American,4081.0,5.0,NaN
unknown,1849.0,3.5,9.0
Bar,368.0,4.0,NaN
 Pub,368.0,4.0,NaN
unknown,11280.0,4.0,3.0
Caribbean,8876.0,5.0,2.0
Fast Food,1198.0,4.0,14.0
unknown,2717.0,4.0,2.0
unknown,6359.0,4.0,4.0
Thai,13006.0,3.0,153.0
 Vegetarian Friendly,13006.0,3.0,153.0
International,612.0,4.5,28.0
 German,612.0,4.5,28.0
Chinese,14317.0,3.5,19.0
 Fast Food,14317.0,3.5,19.0
 Asian,14317.0,3.5,19.0
European,2613.0,4.0,26.0
 Czech,2613.0,4.0,26.0
unknown,402.0,4.5,20.0
Steakhouse,1088.0,4.0,179.0
 Barbecue,1088.0,4.0,179.0
 Argentinean,1088.0,4.0,179.0
Italian,281.0,4.5,567.0
 European,281.0,4.5,567.0
 Vegetarian Friendly,281.0,4.5,567.0
 Vegan Options,281.0,4.5,567.0
 Gluten Free Options,281.0,4.5,567.0
French,11492.0,3.0,95.0
 Cafe,11492.0,3.0,95.0
 European,11492.0,3.0,95.0
Lebanese,673.0,4.0,134.0
 Mediterranean,673.0,4.0,134.0
 Vegetarian Friendly,673.0,4.0,134.0
 Vegan Options,673.0,4.0,134.0
 Gluten Free Options,673.0,4.0,134.0
unknown,863.0,4.5,7.0
British,4531.0,3.5,202.0
 International,4531.0,3.5,202.0
 Vegetarian Friendly,4531.0,3.5,202.0
 Gluten Free Options,4531.0,3.5,202.0
Bar,3906.0,3.0,742.0
 European,3906.0,3.0,742.0
 Czech,3906.0,3.0,742.0
 Eastern European,3906.0,3.0,742.0
 Central European,3906.0,3.0,742.0
Vegetarian Friendly,6605.0,4.5,10.0
unknown,2954.0,4.0,9.0
Mediterranean,774.0,4.0,257.0
 Spanish,774.0,4.0,257.0
Pizza,2018.0,4.0,23.0
 Mediterranean,2018.0,4.0,23.0
Barbecue,2729.0,4.5,73.0
 Asian,2729.0,4.5,73.0
 Korean,2729.0,4.5,73.0
 Vegetarian Friendly,2729.0,4.5,73.0
Taiwanese,6219.0,3.5,11.0
Italian,3400.0,4.5,54.0
 Pizza,3400.0,4.5,54.0
unknown,2207.0,3.0,13.0
Italian,831.0,4.0,55.0
 European,831.0,4.0,55.0
 Pizza,831.0,4.0,55.0
Asian,414.0,3.5,107.0
 Vietnamese,414.0,3.5,107.0
 Soups,414.0,3.5,107.0
 Vegetarian Friendly,414.0,3.5,107.0
Italian,1596.0,4.0,107.0
 Mediterranean,1596.0,4.0,107.0
 European,1596.0,4.0,107.0
 Pizza,1596.0,4.0,107.0
 Seafood,1596.0,4.0,107.0
 Vegetarian Friendly,1596.0,4.0,107.0
Greek,3664.0,4.0,13.0
European,199.0,4.0,688.0
 Czech,199.0,4.0,688.0
 Eastern European,199.0,4.0,688.0
 Central European,199.0,4.0,688.0
 International,199.0,4.0,688.0
 Vegetarian Friendly,199.0,4.0,688.0
 Gluten Free Options,199.0,4.0,688.0
French,2774.0,4.0,241.0
 European,2774.0,4.0,241.0
 Vegetarian Friendly,2774.0,4.0,241.0
Cafe,1117.0,4.0,78.0
 European,1117.0,4.0,78.0
 Vegetarian Friendly,1117.0,4.0,78.0
European,161.0,5.0,62.0
 Fusion,161.0,5.0,62.0
 Croatian,161.0,5.0,62.0
 Mediterranean,161.0,5.0,62.0
 Vegetarian Friendly,161.0,5.0,62.0
 Vegan Options,161.0,5.0,62.0
 Gluten Free Options,161.0,5.0,62.0
Pizza,7308.0,3.0,NaN
Dutch,331.0,4.5,318.0
 European,331.0,4.5,318.0
 Gluten Free Options,331.0,4.5,318.0
 Vegetarian Friendly,331.0,4.5,318.0
unknown,1491.0,4.5,5.0
Italian,323.0,4.5,1280.0
 Mediterranean,323.0,4.5,1280.0
 European,323.0,4.5,1280.0
 Vegetarian Friendly,323.0,4.5,1280.0
 Vegan Options,323.0,4.5,1280.0
 Gluten Free Options,323.0,4.5,1280.0
German,4.0,4.5,621.0
 Central European,4.0,4.5,621.0
 Vegetarian Friendly,4.0,4.5,621.0
 Vegan Options,4.0,4.5,621.0
 Gluten Free Options,4.0,4.5,621.0
Italian,120.0,4.5,1423.0
 Seafood,120.0,4.5,1423.0
 Mediterranean,120.0,4.5,1423.0
 Soups,120.0,4.5,1423.0
 Vegetarian Friendly,120.0,4.5,1423.0
 Vegan Options,120.0,4.5,1423.0
 Gluten Free Options,120.0,4.5,1423.0
French,1827.0,4.0,352.0
 Bar,1827.0,4.0,352.0
 European,1827.0,4.0,352.0
 Vegetarian Friendly,1827.0,4.0,352.0
Asian,7346.0,5.0,38.0
 Korean,7346.0,5.0,38.0
 Vegetarian Friendly,7346.0,5.0,38.0
Steakhouse,7086.0,4.0,42.0
Italian,2291.0,4.0,307.0
 Pizza,2291.0,4.0,307.0
 Vegetarian Friendly,2291.0,4.0,307.0
 Vegan Options,2291.0,4.0,307.0
 Gluten Free Options,2291.0,4.0,307.0
Bar,23.0,4.0,2578.0
 European,23.0,4.0,2578.0
 Pub,23.0,4.0,2578.0
 Czech,23.0,4.0,2578.0
 Eastern European,23.0,4.0,2578.0
 Central European,23.0,4.0,2578.0
 Brew Pub,23.0,4.0,2578.0
 Vegetarian Friendly,23.0,4.0,2578.0
Japanese,190.0,4.5,117.0
 Asian,190.0,4.5,117.0
 Soups,190.0,4.5,117.0
 Vegetarian Friendly,190.0,4.5,117.0
French,440.0,4.5,1108.0
 European,440.0,4.5,1108.0
 Vegetarian Friendly,440.0,4.5,1108.0
 Gluten Free Options,440.0,4.5,1108.0
Japanese,3619.0,4.0,186.0
 Sushi,3619.0,4.0,186.0
 Asian,3619.0,4.0,186.0
 Gluten Free Options,3619.0,4.0,186.0
unknown,3469.0,4.5,15.0
German,1908.0,4.0,2.0
 International,1908.0,4.0,2.0
Italian,248.0,4.5,1264.0
 Seafood,248.0,4.5,1264.0
 Mediterranean,248.0,4.5,1264.0
 Soups,248.0,4.5,1264.0
 Vegetarian Friendly,248.0,4.5,1264.0
 Vegan Options,248.0,4.5,1264.0
 Gluten Free Options,248.0,4.5,1264.0
Grill,1571.0,4.5,3.0
Street Food,3971.0,4.5,3.0
Spanish,1256.0,4.0,88.0
 Vegetarian Friendly,1256.0,4.0,88.0
 Vegan Options,1256.0,4.0,88.0
 Gluten Free Options,1256.0,4.0,88.0
unknown,635.0,5.0,9.0
Mexican,64.0,4.5,1008.0
 Latin,64.0,4.5,1008.0
 Central American,64.0,4.5,1008.0
 International,64.0,4.5,1008.0
 Vegetarian Friendly,64.0,4.5,1008.0
 Vegan Options,64.0,4.5,1008.0
 Gluten Free Options,64.0,4.5,1008.0
Mediterranean,735.0,4.5,59.0
 European,735.0,4.5,59.0
 Portuguese,735.0,4.5,59.0
Italian,3744.0,4.5,91.0
 Vegetarian Friendly,3744.0,4.5,91.0
Bar,2011.0,4.0,321.0
 British,2011.0,4.0,321.0
 Pub,2011.0,4.0,321.0
 Contemporary,2011.0,4.0,321.0
 Vegetarian Friendly,2011.0,4.0,321.0
 Gluten Free Options,2011.0,4.0,321.0
Japanese,500.0,4.5,130.0
 Sushi,500.0,4.5,130.0
 Asian,500.0,4.5,130.0
 Vegetarian Friendly,500.0,4.5,130.0
Italian,15816.0,4.5,9.0
 Mediterranean,15816.0,4.5,9.0
 Cafe,15816.0,4.5,9.0
unknown,2723.0,2.0,NaN
Italian,3524.0,3.5,666.0
 Mediterranean,3524.0,3.5,666.0
 European,3524.0,3.5,666.0
 International,3524.0,3.5,666.0
 Vegetarian Friendly,3524.0,3.5,666.0
Spanish,7588.0,2.5,15.0
American,4333.0,3.5,61.0
 Spanish,4333.0,3.5,61.0
 Asian,4333.0,3.5,61.0
Brew Pub,373.0,5.0,40.0
 Pub,373.0,5.0,40.0
Italian,197.0,4.0,143.0
 Mediterranean,197.0,4.0,143.0
 European,197.0,4.0,143.0
 Central European,197.0,4.0,143.0
 International,197.0,4.0,143.0
 Vegetarian Friendly,197.0,4.0,143.0
Bar,960.0,4.0,4.0
 Cafe,960.0,4.0,4.0
 Pub,960.0,4.0,4.0
Austrian,1432.0,4.5,8.0
 European,1432.0,4.5,8.0
 Wine Bar,1432.0,4.5,8.0
Italian,4546.0,4.5,5.0
Italian,1102.0,5.0,NaN
 French,1102.0,5.0,NaN
 Chinese,1102.0,5.0,NaN
 Polish,1102.0,5.0,NaN
 European,1102.0,5.0,NaN
French,933.0,4.5,4.0
 Mediterranean,933.0,4.5,4.0
 European,933.0,4.5,4.0
Japanese,8.0,4.5,2487.0
 Seafood,8.0,4.5,2487.0
 Sushi,8.0,4.5,2487.0
 Asian,8.0,4.5,2487.0
 Soups,8.0,4.5,2487.0
 Fusion,8.0,4.5,2487.0
 Vegetarian Friendly,8.0,4.5,2487.0
 Vegan Options,8.0,4.5,2487.0
 Gluten Free Options,8.0,4.5,2487.0
unknown,7105.0,3.5,74.0
Japanese,9873.0,3.5,25.0
Vietnamese,2588.0,4.0,18.0
 Fast Food,2588.0,4.0,18.0
Indian,2440.0,4.0,86.0
Bar,1966.0,3.0,27.0
 American,1966.0,3.0,27.0
Dutch,643.0,4.0,148.0
 Bar,643.0,4.0,148.0
 Cafe,643.0,4.0,148.0
 Pub,643.0,4.0,148.0
Bar,818.0,4.0,55.0
 Pub,818.0,4.0,55.0
 Irish,818.0,4.0,55.0
Pizza,4770.0,3.5,83.0
 Mediterranean,4770.0,3.5,83.0
 Argentinean,4770.0,3.5,83.0
 South American,4770.0,3.5,83.0
Asian,13759.0,4.0,11.0
 Indian,13759.0,4.0,11.0
Italian,3303.0,3.5,274.0
 Mediterranean,3303.0,3.5,274.0
 Vegetarian Friendly,3303.0,3.5,274.0
Japanese,8822.0,4.5,7.0
Italian,1203.0,3.0,3.0
Italian,767.0,4.5,261.0
 Pizza,767.0,4.5,261.0
 Mediterranean,767.0,4.5,261.0
 European,767.0,4.5,261.0
 Vegetarian Friendly,767.0,4.5,261.0
 Vegan Options,767.0,4.5,261.0
 Gluten Free Options,767.0,4.5,261.0
French,9519.0,4.5,8.0
 Fast Food,9519.0,4.5,8.0
Swiss,437.0,4.0,125.0
 Central European,437.0,4.0,125.0
 European,437.0,4.0,125.0
 Vegetarian Friendly,437.0,4.0,125.0
 Gluten Free Options,437.0,4.0,125.0
unknown,661.0,4.0,18.0
unknown,12548.0,4.0,NaN
Italian,633.0,4.0,368.0
 Mediterranean,633.0,4.0,368.0
 Pizza,633.0,4.0,368.0
 Argentinean,633.0,4.0,368.0
 Vegetarian Friendly,633.0,4.0,368.0
unknown,5819.0,4.0,NaN
Bar,440.0,4.0,161.0
 European,440.0,4.0,161.0
 Czech,440.0,4.0,161.0
 Eastern European,440.0,4.0,161.0
 Central European,440.0,4.0,161.0
 Vegetarian Friendly,440.0,4.0,161.0
French,3812.0,3.5,431.0
 European,3812.0,3.5,431.0
 Vegetarian Friendly,3812.0,3.5,431.0
French,1517.0,4.5,46.0
 European,1517.0,4.5,46.0
 Steakhouse,1517.0,4.5,46.0
Indian,10045.0,4.0,56.0
 Asian,10045.0,4.0,56.0
 Vegetarian Friendly,10045.0,4.0,56.0
 Vegan Options,10045.0,4.0,56.0
 Halal,10045.0,4.0,56.0
Austrian,2208.0,4.0,14.0
 European,2208.0,4.0,14.0
Italian,15447.0,3.0,56.0
Italian,1388.0,4.0,215.0
 Seafood,1388.0,4.0,215.0
Barbecue,2039.0,5.0,NaN
 South American,2039.0,5.0,NaN
Chinese,2197.0,3.5,17.0
German,541.0,4.5,48.0
 Austrian,541.0,4.5,48.0
 Delicatessen,541.0,4.5,48.0
 Bar,541.0,4.5,48.0
 Fast Food,541.0,4.5,48.0
 Pub,541.0,4.5,48.0
 Vegetarian Friendly,541.0,4.5,48.0
Mediterranean,426.0,4.0,510.0
 European,426.0,4.0,510.0
 Portuguese,426.0,4.0,510.0
 Vegetarian Friendly,426.0,4.0,510.0
unknown,1543.0,4.5,4.0
Italian,1594.0,4.0,513.0
 Pizza,1594.0,4.0,513.0
 Mediterranean,1594.0,4.0,513.0
 European,1594.0,4.0,513.0
 Vegetarian Friendly,1594.0,4.0,513.0
 Vegan Options,1594.0,4.0,513.0
Seafood,1553.0,4.0,56.0
 European,1553.0,4.0,56.0
 Portuguese,1553.0,4.0,56.0
International,28.0,4.5,1388.0
 Mediterranean,28.0,4.5,1388.0
 European,28.0,4.5,1388.0
 Spanish,28.0,4.5,1388.0
 Vegetarian Friendly,28.0,4.5,1388.0
 Vegan Options,28.0,4.5,1388.0
 Gluten Free Options,28.0,4.5,1388.0
unknown,1965.0,4.5,7.0
unknown,5236.0,3.0,4.0
Italian,3874.0,4.0,93.0
 Pizza,3874.0,4.0,93.0
 Mediterranean,3874.0,4.0,93.0
 European,3874.0,4.0,93.0
Cafe,14315.0,3.0,5.0
 European,14315.0,3.0,5.0
Austrian,2937.0,3.5,37.0
 European,2937.0,3.5,37.0
 Central European,2937.0,3.5,37.0
Italian,648.0,4.0,63.0
 European,648.0,4.0,63.0
 Pizza,648.0,4.0,63.0
 Mediterranean,648.0,4.0,63.0
 Vegetarian Friendly,648.0,4.0,63.0
Lebanese,977.0,5.0,34.0
 Mediterranean,977.0,5.0,34.0
 Middle Eastern,977.0,5.0,34.0
 Vegetarian Friendly,977.0,5.0,34.0
 Vegan Options,977.0,5.0,34.0
Polish,1880.0,4.0,8.0
 Bar,1880.0,4.0,8.0
 European,1880.0,4.0,8.0
French,5652.0,4.0,60.0
unknown,906.0,3.5,13.0
American,1918.0,3.5,16.0
French,25.0,4.0,272.0
 European,25.0,4.0,272.0
 Vegetarian Friendly,25.0,4.0,272.0
 Gluten Free Options,25.0,4.0,272.0
Spanish,1607.0,3.0,84.0
German,5846.0,3.5,4.0
French,5106.0,4.5,13.0
 British,5106.0,4.5,13.0
Mediterranean,522.0,5.0,43.0
 European,522.0,5.0,43.0
 Healthy,522.0,5.0,43.0
 Portuguese,522.0,5.0,43.0
 Contemporary,522.0,5.0,43.0
 Vegetarian Friendly,522.0,5.0,43.0
 Vegan Options,522.0,5.0,43.0
Japanese,825.0,4.5,267.0
 Asian,825.0,4.5,267.0
 Vegetarian Friendly,825.0,4.5,267.0
 Vegan Options,825.0,4.5,267.0
Japanese,2988.0,3.5,224.0
 Seafood,2988.0,3.5,224.0
 Sushi,2988.0,3.5,224.0
 Asian,2988.0,3.5,224.0
Chinese,1022.0,3.5,98.0
 Asian,1022.0,3.5,98.0
 Vegetarian Friendly,1022.0,3.5,98.0
unknown,11535.0,4.0,5.0
unknown,662.0,4.0,19.0
Cafe,4901.0,4.5,5.0
 Mediterranean,4901.0,4.5,5.0
unknown,2877.0,4.0,5.0
unknown,1369.0,4.5,7.0
unknown,7398.0,5.0,2.0
French,4548.0,4.0,125.0
 Fast Food,4548.0,4.0,125.0
 European,4548.0,4.0,125.0
unknown,4124.0,4.5,64.0
Vegetarian Friendly,3032.0,4.0,29.0
 Vegan Options,3032.0,4.0,29.0
European,32.0,4.5,642.0
 Wine Bar,32.0,4.5,642.0
 Bar,32.0,4.5,642.0
 Mediterranean,32.0,4.5,642.0
 British,32.0,4.5,642.0
 Vegetarian Friendly,32.0,4.5,642.0
Chinese,709.0,5.0,14.0
 Asian,709.0,5.0,14.0
Bar,15109.0,3.0,54.0
unknown,9552.0,5.0,2.0
American,1669.0,4.5,16.0
 Fast Food,1669.0,4.5,16.0
 Vegetarian Friendly,1669.0,4.5,16.0
Mediterranean,4.0,4.5,907.0
 European,4.0,4.5,907.0
 Delicatessen,4.0,4.5,907.0
 Portuguese,4.0,4.5,907.0
 Vegan Options,4.0,4.5,907.0
Steakhouse,449.0,4.0,1377.0
 Bar,449.0,4.0,1377.0
 European,449.0,4.0,1377.0
 British,449.0,4.0,1377.0
 Contemporary,449.0,4.0,1377.0
 Vegetarian Friendly,449.0,4.0,1377.0
 Vegan Options,449.0,4.0,1377.0
 Gluten Free Options,449.0,4.0,1377.0
Swiss,609.0,3.5,72.0
 European,609.0,3.5,72.0
 Italian,609.0,3.5,72.0
 Pizza,609.0,3.5,72.0
 Vegetarian Friendly,609.0,3.5,72.0
unknown,1198.0,4.0,14.0
Lebanese,13799.0,4.0,8.0
 Moroccan,13799.0,4.0,8.0
 Mediterranean,13799.0,4.0,8.0
Turkish,8912.0,5.0,4.0
French,4599.0,4.0,118.0
 Bar,4599.0,4.0,118.0
 Cafe,4599.0,4.0,118.0
 European,4599.0,4.0,118.0
 Vegetarian Friendly,4599.0,4.0,118.0
Dutch,1159.0,3.5,198.0
 Bar,1159.0,3.5,198.0
 European,1159.0,3.5,198.0
 Pub,1159.0,3.5,198.0
Asian,1902.0,4.0,11.0
 Cambodian,1902.0,4.0,11.0
Spanish,7784.0,1.0,3.0
Cafe,913.0,4.0,34.0
 Soups,913.0,4.0,34.0
 Fast Food,913.0,4.0,34.0
 Vegetarian Friendly,913.0,4.0,34.0
 Vegan Options,913.0,4.0,34.0
Cafe,1041.0,5.0,13.0
 Soups,1041.0,5.0,13.0
Italian,2226.0,4.0,671.0
 Mediterranean,2226.0,4.0,671.0
 Vegetarian Friendly,2226.0,4.0,671.0
 Gluten Free Options,2226.0,4.0,671.0
Italian,626.0,4.5,32.0
unknown,1196.0,4.0,37.0
Bar,601.0,4.5,25.0
 Pub,601.0,4.5,25.0
 Vegetarian Friendly,601.0,4.5,25.0
Pizza,2043.0,3.5,18.0
 Fast Food,2043.0,3.5,18.0
 Italian,2043.0,3.5,18.0
 Turkish,2043.0,3.5,18.0
 Vegetarian Friendly,2043.0,3.5,18.0
Bar,852.0,4.5,13.0
 Cafe,852.0,4.5,13.0
unknown,13571.0,4.0,2.0
unknown,2287.0,4.0,8.0
British,5892.0,4.5,14.0
Bar,684.0,4.0,23.0
 Mediterranean,684.0,4.0,23.0
 Greek,684.0,4.0,23.0
 Delicatessen,684.0,4.0,23.0
 Contemporary,684.0,4.0,23.0
Korean,1542.0,3.0,50.0
 Japanese,1542.0,3.0,50.0
French,4946.0,4.0,42.0
 European,4946.0,4.0,42.0
Vegetarian Friendly,778.0,4.5,27.0
Spanish,2603.0,4.0,4.0
unknown,4874.0,4.5,2.0
Cafe,4018.0,5.0,15.0
European,481.0,3.5,332.0
 Vegetarian Friendly,481.0,3.5,332.0
Italian,586.0,4.0,820.0
 Mediterranean,586.0,4.0,820.0
 European,586.0,4.0,820.0
 Vegetarian Friendly,586.0,4.0,820.0
 Gluten Free Options,586.0,4.0,820.0
 Vegan Options,586.0,4.0,820.0
Italian,12943.0,3.5,3.0
 American,12943.0,3.5,3.0
 Mediterranean,12943.0,3.5,3.0
 Tunisian,12943.0,3.5,3.0
Italian,1915.0,4.0,170.0
 Mediterranean,1915.0,4.0,170.0
 European,1915.0,4.0,170.0
 Gluten Free Options,1915.0,4.0,170.0
 Vegetarian Friendly,1915.0,4.0,170.0
unknown,11134.0,4.5,3.0
unknown,1195.0,4.5,12.0
European,958.0,3.0,64.0
 Scandinavian,958.0,3.0,64.0
 International,958.0,3.0,64.0
unknown,12512.0,4.0,NaN
unknown,6175.0,4.5,11.0
French,4004.0,3.5,1775.0
 Cafe,4004.0,3.5,1775.0
 European,4004.0,3.5,1775.0
 Gastropub,4004.0,3.5,1775.0
 Vegetarian Friendly,4004.0,3.5,1775.0
 Vegan Options,4004.0,3.5,1775.0
Italian,2751.0,4.5,24.0
Chinese,2577.0,3.0,4.0
Seafood,708.0,4.0,306.0
 Fast Food,708.0,4.0,306.0
 European,708.0,4.0,306.0
American,345.0,4.5,244.0
 Bar,345.0,4.5,244.0
 European,345.0,4.5,244.0
 Pub,345.0,4.5,244.0
 Vegetarian Friendly,345.0,4.5,244.0
unknown,2131.0,5.0,NaN
unknown,4862.0,3.5,7.0
Italian,281.0,4.0,543.0
 Pizza,281.0,4.0,543.0
 European,281.0,4.0,543.0
 Vegetarian Friendly,281.0,4.0,543.0
 Vegan Options,281.0,4.0,543.0
 Gluten Free Options,281.0,4.0,543.0
British,13784.0,4.5,16.0
 Pub,13784.0,4.5,16.0
 Bar,13784.0,4.5,16.0
 Vegetarian Friendly,13784.0,4.5,16.0
Chinese,13759.0,2.0,3.0
 Thai,13759.0,2.0,3.0
 Vietnamese,13759.0,2.0,3.0
Italian,2688.0,4.0,56.0
 Pizza,2688.0,4.0,56.0
 Fast Food,2688.0,4.0,56.0
 Mediterranean,2688.0,4.0,56.0
 European,2688.0,4.0,56.0
 Vegetarian Friendly,2688.0,4.0,56.0
unknown,2270.0,4.0,15.0
unknown,2113.0,3.5,4.0
unknown,6129.0,3.5,3.0
American,1489.0,3.5,53.0
 Fast Food,1489.0,3.5,53.0
Italian,490.0,3.5,317.0
 Mexican,490.0,3.5,317.0
 American,490.0,3.5,317.0
 European,490.0,3.5,317.0
 Asian,490.0,3.5,317.0
 Hungarian,490.0,3.5,317.0
 Vegetarian Friendly,490.0,3.5,317.0
 Vegan Options,490.0,3.5,317.0
 Gluten Free Options,490.0,3.5,317.0
unknown,2160.0,5.0,3.0
Caribbean,4384.0,4.0,170.0
 Jamaican,4384.0,4.0,170.0
 Vegetarian Friendly,4384.0,4.0,170.0
 Vegan Options,4384.0,4.0,170.0
 Gluten Free Options,4384.0,4.0,170.0
Cafe,2484.0,3.5,186.0
 European,2484.0,3.5,186.0
 Spanish,2484.0,3.5,186.0
 Mediterranean,2484.0,3.5,186.0
 Vegetarian Friendly,2484.0,3.5,186.0
Vegan Options,1200.0,4.5,9.0
Bar,5949.0,4.0,NaN
 Spanish,5949.0,4.0,NaN
 Pub,5949.0,4.0,NaN
Mediterranean,11785.0,3.5,22.0
Fast Food,1420.0,4.5,4.0
unknown,961.0,5.0,NaN
unknown,3980.0,4.0,4.0
unknown,4852.0,5.0,4.0
Irish,1867.0,3.5,43.0
 Cafe,1867.0,3.5,43.0
 International,1867.0,3.5,43.0
 Fusion,1867.0,3.5,43.0
Italian,1250.0,4.0,230.0
 Seafood,1250.0,4.0,230.0
 International,1250.0,4.0,230.0
 Contemporary,1250.0,4.0,230.0
 Vegetarian Friendly,1250.0,4.0,230.0
